factory_id,process_id,equipment_id,equipment_name,material,so,gop,qty,cycle_number,start_time,stop_time,spindle,idle_inter,total
21,47,111,ECOSPEED F1040 #2,V5725352020600,D200593320,20,1,1,2022-03-23 08:44:54.605,2022-03-23 09:58:45.042,1.18,0.05,1.231
21,47,111,ECOSPEED F1040 #2,V5725352020600,D200593340,20,1,1,2022-03-23 10:38:33.157,2022-03-23 11:58:49.416,1.168,0.17,1.338
21,47,111,ECOSPEED F1040 #2,V5725352020400,D200593300,20,1,1,2022-03-23 13:21:15.167,2022-03-23 14:32:27.637,1.135,0.052,1.187
21,47,111,ECOSPEED F1040 #2,V5725352020400,D200593290,20,1,1,2022-03-23 14:49:05.740,2022-03-23 16:03:56.063,1.158,0.089,1.247
21,47,111,ECOSPEED F1040 #2,V5725352020400,D200593310,20,1,1,2022-03-23 16:19:42.021,2022-03-23 17:30:50.250,1.133,0.052,1.186
21,47,111,ECOSPEED F1040 #2,V5725352720000,D200595450,20,1,1,2022-03-23 18:00:10.440,2022-03-23 18:31:50.401,0.47,0.058,0.528
21,47,111,ECOSPEED F1040 #2,V5725352720000,D200595440,20,1,1,2022-03-23 18:59:10.511,2022-03-23 19:30:44.725,0.469,0.057,0.526
