factory_id,process_id,equipment_id,equipment_name,material,so,gop,qty,total_cycle_avg,total_cycle_max,total_cycle_min,spindle_cycle_avg,spindle_cycle_max,spindle_cycle_min,idle_cycle_avg,idle_cycle_max,idle_cycle_min,start_time,stop_time,total_runtime
23,49,115,DMC60T#3,162D612605-2001,D200594910,30,1,2.435,2.435,2.435,2.384,2.384,2.384,0.051,0.051,0.051,2022-04-08 05:57:51,2022-04-08 08:34:48,2.616
23,49,115,DMC60T#3,182A5703-3,D200599800,30,10,0.927,1.628,0.796,0.791,0.83,0.778,0.136,0.835,0.015,2022-04-08 09:08:14,2022-04-08 20:03:28,10.921
21,47,111,ECOSPEED F1040 #2,V5725352020400,D200593290,30,1,2.706,2.706,2.706,2.222,2.222,2.222,0.485,0.485,0.485,2022-04-08 13:12:50,2022-04-08 16:03:31,2.845
21,47,111,ECOSPEED F1040 #2,V5725352020400,D200593310,30,1,3.11,3.11,3.11,2.204,2.204,2.204,0.906,0.906,0.906,2022-04-08 08:15:03,2022-04-08 11:27:26,3.206
21,47,111,ECOSPEED F1040 #2,V5725352120800,D200600520,10,1,0.881,0.881,0.881,0.853,0.853,0.853,0.027,0.027,0.027,2022-04-08 17:46:26,2022-04-08 18:43:11,0.946
21,47,111,ECOSPEED F1040 #2,V5725352120800,D200600530,10,1,0.874,0.874,0.874,0.834,0.834,0.834,0.04,0.04,0.04,2022-04-08 16:05:07,2022-04-08 17:34:23,1.488
21,47,111,ECOSPEED F1040 #2,V5725352620000,D200605580,20,1,0.549,0.549,0.549,0.54,0.54,0.54,0.009,0.009,0.009,2022-04-08 18:54:54,2022-04-08 19:31:19,0.607
21,47,111,ECOSPEED F1040 #2,V5725416620400,D200605800,10,1,1.003,1.003,1.003,0.993,0.993,0.993,0.011,0.011,0.011,2022-04-08 11:31:49,2022-04-08 13:04:58,1.552
21,84,107,EVER 7,141T1381-66,Y200181240,50,10,2.98,3.335,2.71,2.181,2.409,1.975,0.799,1.174,0.534,2022-04-06 23:35:25,2022-04-08 10:19:03,34.727
21,84,107,EVER 7,30P171700105-001A-K,D200574940,40,1,3.182,3.182,3.182,1.926,1.926,1.926,1.256,1.256,1.256,2022-04-08 20:21:13,2022-04-09 04:09:57,7.812
21,47,109,G3020 #1,30P176101200-001A,D200592080,40,3,4.885,5.276,4.611,3.699,3.707,3.688,1.186,1.588,0.908,2022-04-08 07:39:45,2022-04-09 01:35:28,17.929
21,47,112,HFP1540 PROTO,V5312019120000,D200582390,60,1,8.269,8.269,8.269,6.324,6.324,6.324,1.945,1.945,1.945,2022-04-08 08:12:10,2022-04-08 16:51:01,8.648
23,49,117,KT MODU LINE #3,182A1507-753,D200580940,40,6,6.423,7.272,5.903,5.677,6.053,5.518,0.745,1.22,0.294,2022-04-06 14:46:48,2022-04-08 15:47:40,49.014
24,50,104,MC18200 #1,182T3103-8A,D200582120,40,16,1.612,2.822,0.984,1.213,1.412,0.984,0.399,1.421,0.0,2022-04-07 01:53:02,2022-04-08 22:01:40,44.144
