factory_id,process_id,equipment_id,equipment_name,material,so,gop,qty,total_cycle_avg,total_cycle_max,total_cycle_min,spindle_cycle_avg,spindle_cycle_max,spindle_cycle_min,idle_cycle_avg,idle_cycle_max,idle_cycle_min,start_time,stop_time,total_runtime
23,49,116,MYNX500#1,457W1015-16,Y200183100,50,45,0.345,0.895,0.307,0.333,0.37,0.307,0.012,0.525,0.0,2022-04-07 09:29:19,2022-04-08 08:43:42,23.24
23,49,116,MYNX500#1,457W1015-16,Y200183110,50,45,0.345,0.895,0.307,0.333,0.37,0.307,0.012,0.525,0.0,2022-04-07 09:29:19,2022-04-08 08:43:42,23.24
24,50,103,SB-416,D572-40297-203,D200589030,20,1,0.583,0.583,0.583,0.499,0.499,0.499,0.083,0.083,0.083,2022-04-08 06:53:07,2022-04-08 09:05:06,2.2
24,50,103,SB-416,D572-57844-202,D200591550,10,2,0.216,0.217,0.216,0.18,0.181,0.178,0.037,0.038,0.036,2022-04-08 14:32:04,2022-04-08 15:23:49,0.862
24,50,103,SB-416,D572-57844-202,D200591350,10,2,0.217,0.217,0.217,0.19,0.194,0.186,0.028,0.032,0.023,2022-04-08 13:53:18,2022-04-08 14:28:35,0.588
24,50,103,SB-416,D572-57844-202,D200591320,10,1,0.217,0.217,0.217,0.186,0.186,0.186,0.031,0.031,0.031,2022-04-08 13:24:51,2022-04-08 13:53:07,0.471
24,50,103,SB-416,D572-57844-202,D200591310,10,1,0.217,0.217,0.217,0.189,0.189,0.189,0.028,0.028,0.028,2022-04-08 13:06:07,2022-04-08 13:24:41,0.309
24,50,103,SB-416,D572-57844-202,D200591300,10,1,0.216,0.216,0.216,0.181,0.181,0.181,0.036,0.036,0.036,2022-04-08 11:59:18,2022-04-08 13:05:38,1.106
24,50,103,SB-416,D572-57844-202,D200591220,10,1,0.218,0.218,0.218,0.187,0.187,0.187,0.031,0.031,0.031,2022-04-08 11:40:00,2022-04-08 11:59:08,0.319
24,50,103,SB-416,D572-57844-202,D200591170,10,1,0.218,0.218,0.218,0.184,0.184,0.184,0.035,0.035,0.035,2022-04-08 11:23:24,2022-04-08 11:39:47,0.273
24,50,103,SB-416,D572-57844-202,D200591140,10,1,0.216,0.216,0.216,0.186,0.186,0.186,0.03,0.03,0.03,2022-04-08 11:04:27,2022-04-08 11:23:14,0.313
24,50,103,SB-416,D572-57844-202,D200574170,10,1,0.214,0.214,0.214,0.199,0.199,0.199,0.016,0.016,0.016,2022-04-08 09:05:15,2022-04-08 09:26:42,0.358
24,50,103,SB-416,D572-57844-202,D200574160,10,1,0.219,0.219,0.219,0.201,0.201,0.201,0.018,0.018,0.018,2022-04-08 09:26:50,2022-04-08 09:47:03,0.337
24,50,103,SB-416,D572-57844-202,D200574150,10,1,0.218,0.218,0.218,0.189,0.189,0.189,0.029,0.029,0.029,2022-04-08 09:47:12,2022-04-08 10:51:43,1.075
24,50,103,SB-416,D572-57844-202,D200591630,10,1,0.216,0.216,0.216,0.177,0.177,0.177,0.038,0.038,0.038,2022-04-08 15:55:05,2022-04-08 16:19:14,0.402
24,50,103,SB-416,D572-57844-202,D200591570,10,1,0.217,0.217,0.217,0.198,0.198,0.198,0.02,0.02,0.02,2022-04-08 15:24:41,2022-04-08 15:54:57,0.504
24,50,103,SB-416,D572-40297-203,D200588990,20,1,0.619,0.619,0.619,0.523,0.523,0.523,0.096,0.096,0.096,2022-04-08 20:18:01,2022-04-08 21:00:13,0.703
24,50,103,SB-416,D572-40297-203,D200588980,20,1,0.683,0.683,0.683,0.483,0.483,0.483,0.2,0.2,0.2,2022-04-08 16:19:24,2022-04-08 20:17:42,3.972
24,50,103,SB-416,D572-40297-203,D200588970,20,1,0.637,0.637,0.637,0.51,0.51,0.51,0.127,0.127,0.127,2022-04-08 21:50:04,2022-04-08 22:45:21,0.921
24,50,103,SB-416,D572-40297-203,D200588960,20,1,0.626,0.626,0.626,0.5,0.5,0.5,0.126,0.126,0.126,2022-04-08 21:00:21,2022-04-08 21:49:55,0.826
24,50,103,SB-416,D572-40297-203,D200588950,20,1,1.885,1.885,1.885,0.519,0.519,0.519,1.366,1.366,1.366,2022-04-08 23:34:32,2022-04-09 01:38:20,2.063
24,50,103,SB-416,D572-40297-203,D200588930,20,1,0.66,0.66,0.66,0.511,0.511,0.511,0.148,0.148,0.148,2022-04-08 22:45:27,2022-04-08 23:34:25,0.816
24,50,103,SB-416,D572-40297-203,D200588920,20,1,0.696,0.696,0.696,0.51,0.51,0.51,0.186,0.186,0.186,2022-04-09 02:28:21,2022-04-09 03:37:53,1.159
24,50,103,SB-416,D572-40297-203,D200588910,20,1,0.659,0.659,0.659,0.536,0.536,0.536,0.123,0.123,0.123,2022-04-09 01:38:31,2022-04-09 02:28:12,0.828
24,50,103,SB-416,D572-40297-203,D200588840,20,1,0.596,0.596,0.596,0.491,0.491,0.491,0.106,0.106,0.106,2022-04-09 03:38:01,2022-04-09 04:20:22,0.706
24,50,103,SB-416,D572-57844-202,D200574140,10,1,0.219,0.219,0.219,0.202,0.202,0.202,0.017,0.017,0.017,2022-04-08 10:51:55,2022-04-08 11:04:18,0.206
21,84,105,VC630/5AX #S4,RF00103112-2,Y200180100,40,3,0.354,0.502,0.248,0.292,0.317,0.247,0.062,0.185,0.0,2022-04-07 11:18:12,2022-04-08 20:25:05,33.115
23,49,119,VMP8-6P,A81019385-01,D200601000,30,3,5.591,7.135,4.776,4.494,4.501,4.484,1.097,2.638,0.292,2022-04-08 08:24:28,2022-04-09 04:33:27,20.15
