factory_id,process_id,equipment_id,equipment_name,material,so,gop,qty,total_cycle_avg,total_cycle_max,total_cycle_min,spindle_cycle_avg,spindle_cycle_max,spindle_cycle_min,idle_cycle_avg,idle_cycle_max,idle_cycle_min,start_time,stop_time,total_runtime
24,50,102,CMI 3S #8,182A2408-752A,D200519200,30,1,12.379,12.379,12.379,5.996,5.996,5.996,6.383,6.383,6.383,2022-04-04 23:14:03,2022-04-05 13:33:10,14.319
24,50,102,CMI 3S #8,182A2408-752A,D200519190,30,1,10.832,10.832,10.832,5.796,5.796,5.796,5.036,5.036,5.036,2022-04-05 14:30:56,2022-04-06 01:27:50,10.948
23,49,115,DMC60T#3,A81063405-01,D200576800,30,6,0.731,1.424,0.563,0.559,0.564,0.556,0.172,0.865,0.006,2022-04-05 09:33:00,2022-04-05 19:08:31,9.592
23,49,115,DMC60T#3,185A1351-401,D200594240,30,3,1.601,1.746,1.528,1.531,1.537,1.528,0.07,0.209,0.0,2022-04-05 23:24:16,2022-04-06 04:28:18,5.067
23,49,115,DMC60T#3,182A2407-752A,D200596570,30,10,1.306,1.63,1.193,1.186,1.187,1.184,0.12,0.444,0.008,2022-04-04 14:28:04,2022-04-05 08:15:00,17.782
21,84,48,DMU 50 3rd Generation #2,315A6156-74,Y200160810,50,43,0.761,1.53,0.641,0.727,0.836,0.631,0.034,0.863,0.004,2022-04-01 18:00:36,2022-04-05 20:52:37,98.867
21,47,111,ECOSPEED F1040 #2,V5725352520200,D200605640,20,1,0.537,0.537,0.537,0.523,0.523,0.523,0.015,0.015,0.015,2022-04-05 15:42:57,2022-04-05 16:19:18,0.606
21,47,111,ECOSPEED F1040 #2,V5725352220400,D200605710,20,1,0.687,0.687,0.687,0.658,0.658,0.658,0.029,0.029,0.029,2022-04-05 14:42:03,2022-04-05 15:29:58,0.799
21,47,111,ECOSPEED F1040 #2,V5725352220400,D200605720,20,1,0.686,0.686,0.686,0.634,0.634,0.634,0.053,0.053,0.053,2022-04-05 13:20:47,2022-04-05 14:15:36,0.914
21,47,111,ECOSPEED F1040 #2,V5725352220400,D200605760,20,1,0.682,0.682,0.682,0.653,0.653,0.653,0.029,0.029,0.029,2022-04-05 11:48:42,2022-04-05 13:03:36,1.248
21,47,111,ECOSPEED F1040 #2,V5725352520200,D200605620,20,1,0.54,0.54,0.54,0.494,0.494,0.494,0.046,0.046,0.046,2022-04-05 17:48:29,2022-04-05 18:24:18,0.597
21,47,111,ECOSPEED F1040 #2,V5725352520200,D200605630,20,1,0.545,0.545,0.545,0.492,0.492,0.492,0.053,0.053,0.053,2022-04-05 16:35:05,2022-04-05 17:34:10,0.985
21,47,111,ECOSPEED F1040 #2,V5725352520300,D200605600,20,1,0.538,0.538,0.538,0.523,0.523,0.523,0.015,0.015,0.015,2022-04-05 18:36:31,2022-04-05 19:15:44,0.654
21,47,111,ECOSPEED F1040 #2,V5725416921000,D200600340,20,1,3.465,3.465,3.465,2.837,2.837,2.837,0.629,0.629,0.629,2022-04-05 08:06:53,2022-04-05 11:46:33,3.661
21,47,109,G3020 #1,30P176101200-001A,D200592080,30,3,2.758,2.881,2.695,2.197,2.226,2.15,0.561,0.731,0.473,2022-04-05 05:04:57,2022-04-05 14:38:10,9.554
21,47,109,G3020 #1,30P176101200-001A,D200592130,30,5,2.69,2.694,2.685,2.21,2.229,2.196,0.48,0.492,0.464,2022-04-05 14:38:22,2022-04-06 05:40:18,15.032
21,47,112,HFP1540 PROTO,V5312019120000,D200582410,50,1,3.649,3.649,3.649,3.494,3.494,3.494,0.154,0.154,0.154,2022-04-05 13:27:31,2022-04-05 18:09:01,4.692
21,47,112,HFP1540 PROTO,V5312019120000,D200582400,50,1,3.614,3.614,3.614,3.434,3.434,3.434,0.18,0.18,0.18,2022-04-05 08:10:16,2022-04-05 13:27:20,5.284
