factory_id,process_id,equipment_id,equipment_name,material,so,gop,qty,total_cycle_avg,total_cycle_max,total_cycle_min,spindle_cycle_avg,spindle_cycle_max,spindle_cycle_min,idle_cycle_avg,idle_cycle_max,idle_cycle_min,start_time,stop_time,total_runtime
23,49,115,DMC60T#3,85F7451-603,D200600720,30,4,2.508,3.218,2.154,2.16,2.2,2.139,0.348,1.018,0.0,2022-04-21 10:57:27,2022-04-21 22:37:15,11.663
21,84,48,DMU 50 3rd Generation #2,114A7311-603,Y200158970,50,15,0.652,1.758,0.499,0.485,0.488,0.472,0.167,1.271,0.013,2022-04-21 04:39:11,2022-04-21 18:42:56,14.062
21,47,111,ECOSPEED F1040 #2,V5725351820000,D200600400,30,1,4.691,4.691,4.691,2.649,2.649,2.649,2.042,2.042,2.042,2022-04-21 10:36:51,2022-04-21 15:23:32,4.778
21,47,111,ECOSPEED F1040 #2,V5725351820200,D200600390,20,1,1.157,1.157,1.157,1.095,1.095,1.095,0.062,0.062,0.062,2022-04-21 16:29:03,2022-04-21 17:45:46,1.279
21,47,111,ECOSPEED F1040 #2,V5725351820200,D200600430,20,1,1.157,1.157,1.157,1.116,1.116,1.116,0.041,0.041,0.041,2022-04-21 17:57:39,2022-04-21 19:18:12,1.342
21,47,111,ECOSPEED F1040 #2,V5725352220600,D200605730,20,1,0.679,0.679,0.679,0.638,0.638,0.638,0.041,0.041,0.041,2022-04-21 15:25:52,2022-04-21 16:12:21,0.775
21,47,111,ECOSPEED F1040 #2,V5725352220600,D200605740,20,1,0.698,0.698,0.698,0.656,0.656,0.656,0.042,0.042,0.042,2022-04-21 09:25:59,2022-04-21 10:30:30,1.075
21,47,111,ECOSPEED F1040 #2,V5725352220600,D200605750,20,1,0.688,0.688,0.688,0.612,0.612,0.612,0.076,0.076,0.076,2022-04-21 08:14:39,2022-04-21 09:12:52,0.97
21,84,107,EVER 7,30P171700105-001A-K,D200574920,50,1,18.679,18.679,18.679,7.984,7.984,7.984,10.696,10.696,10.696,2022-04-20 21:34:20,2022-04-21 17:54:58,20.344
21,47,106,FMS ZT-800 #3,116W2313-605,D200607580,20,2,8.775,15.067,2.483,1.051,1.184,0.919,7.724,13.883,1.565,2022-04-20 13:32:26,2022-04-21 09:43:48,20.189
21,47,106,FMS ZT-800 #3,116W2313-605,D200607590,20,2,2.974,3.483,2.465,1.084,1.111,1.058,1.89,2.372,1.407,2022-04-21 09:44:02,2022-04-21 18:01:06,8.284
23,49,167,H5-800,RF00102114-4,Y200184590,80,1,4.8,4.8,4.8,3.652,3.652,3.652,1.148,1.148,1.148,2022-04-21 07:08:49,2022-04-21 13:06:42,5.965
