factory_id,process_id,equipment_id,equipment_name,material,so,gop,qty,cycle_number,start_time,stop_time,spindle,idle_inter,total
24,50,102,CMI 3S #8,182A2409-6,D200565190,30,1,1,2022-04-01 16:05:55.128278,2022-04-02 00:23:36.586522,5.571,2.724,8.295
23,49,115,DMC60T#3,175A1302-1,D200577240,40,12,1,2022-03-31 20:35:17.457000,2022-03-31 22:37:17.872000,1.488,0.546,2.033
23,49,115,DMC60T#3,175A1302-1,D200577240,40,12,2,2022-03-31 22:54:45.961000,2022-04-01 00:25:16.068000,1.501,0.007,1.508
23,49,115,DMC60T#3,175A1302-1,D200577240,40,12,3,2022-04-01 01:12:22.230000,2022-04-01 02:43:36.361662,1.505,0.016,1.521
23,49,115,DMC60T#3,175A1302-1,D200577240,40,12,4,2022-04-01 02:51:27.993000,2022-04-01 04:21:56.329181,1.498,0.01,1.508
23,49,115,DMC60T#3,175A1302-1,D200577240,40,12,5,2022-04-01 04:40:32.195534,2022-04-01 06:11:02.584000,1.496,0.013,1.508
23,49,115,DMC60T#3,175A1302-1,D200577240,40,12,6,2022-04-01 06:22:38.816075,2022-04-01 07:53:06.727000,1.498,0.01,1.508
23,49,115,DMC60T#3,175A1302-1,D200577240,40,12,7,2022-04-01 08:27:44.650000,2022-04-01 09:58:57.833448,1.507,0.013,1.52
23,49,115,DMC60T#3,175A1302-1,D200577240,40,12,8,2022-04-01 11:52:23.171000,2022-04-01 13:23:39.121114,1.508,0.013,1.521
23,49,115,DMC60T#3,175A1302-1,D200577240,40,12,9,2022-04-01 13:58:00.964000,2022-04-01 15:29:16.415612,1.508,0.013,1.521
23,49,115,DMC60T#3,175A1302-1,D200577240,40,12,10,2022-04-01 15:43:36.375348,2022-04-01 17:14:57.363000,1.515,0.007,1.522
23,49,115,DMC60T#3,175A1302-1,D200577240,40,12,11,2022-04-01 17:35:07.529007,2022-04-01 19:06:21.648446,1.513,0.008,1.521
23,49,115,DMC60T#3,175A1302-1,D200577240,40,12,12,2022-04-01 19:16:09.641000,2022-04-01 20:47:25.715943,1.509,0.012,1.521
21,47,111,ECOSPEED F1040 #2,V5725351820000,D200593430,20,1,1,2022-04-01 08:25:32.523000,2022-04-01 09:34:04.732000,1.074,0.068,1.142
21,47,111,ECOSPEED F1040 #2,V5725352720100,D200600250,20,1,1,2022-04-01 10:23:24.579000,2022-04-01 10:56:00.988000,0.489,0.054,0.543
21,47,111,ECOSPEED F1040 #2,V5725352720100,D200600240,20,1,1,2022-04-01 11:14:12.841000,2022-04-01 11:45:55.141000,0.464,0.065,0.528
21,47,111,ECOSPEED F1040 #2,V5725352720100,D200600210,20,1,1,2022-04-01 11:57:20.861000,2022-04-01 12:28:57.077000,0.459,0.068,0.527
21,47,111,ECOSPEED F1040 #2,V5725416921000,D200600320,10,1,1,2022-04-01 13:19:17.239000,2022-04-01 14:12:59.611000,0.815,0.081,0.895
21,47,111,ECOSPEED F1040 #2,V5725416921000,D200600350,10,1,1,2022-04-01 14:34:03.666000,2022-04-01 15:27:47.649000,0.809,0.086,0.896
21,47,111,ECOSPEED F1040 #2,V5725416921000,D200600340,10,1,1,2022-04-01 15:47:39.703000,2022-04-01 16:51:26.033000,0.833,0.23,1.063
21,47,111,ECOSPEED F1040 #2,V5725352720000,D200600230,20,1,1,2022-04-01 17:45:32.288000,2022-04-01 18:17:12.357000,0.461,0.067,0.528
21,84,107,EVER 7,114A6131-602A,Y200180340,40,29,1,2022-03-30 06:55:16.341000,2022-03-30 08:16:02.323000,1.346,0.0,1.346
21,84,107,EVER 7,114A6131-602A,Y200180340,40,29,2,2022-03-30 08:29:46.258000,2022-03-30 09:58:54.802000,1.397,0.089,1.486
21,84,107,EVER 7,114A6131-602A,Y200180340,40,29,3,2022-03-30 10:21:50.536000,2022-03-30 11:38:24.956000,1.276,0.0,1.276
21,84,107,EVER 7,114A6131-602A,Y200180340,40,29,4,2022-03-30 11:53:38.738000,2022-03-30 13:14:18.942000,1.345,0.0,1.345
21,84,107,EVER 7,114A6131-602A,Y200180340,40,29,5,2022-03-30 13:35:23.087000,2022-03-30 14:56:23.508000,1.35,0.0,1.35
21,84,107,EVER 7,114A6131-602A,Y200180340,40,29,6,2022-03-30 15:16:43.469000,2022-03-30 16:34:01.784000,1.288,0.0,1.288
21,84,107,EVER 7,114A6131-602A,Y200180340,40,29,7,2022-03-30 17:36:17.939000,2022-03-30 19:01:42.058000,1.423,0.0,1.423
21,84,107,EVER 7,114A6131-602A,Y200180340,40,29,8,2022-03-30 19:20:42.201000,2022-03-30 20:44:06.309000,1.39,0.0,1.39
21,84,107,EVER 7,114A6131-602A,Y200180340,40,29,9,2022-03-30 20:48:18.098000,2022-03-30 22:13:32.517000,1.421,0.0,1.421
21,84,107,EVER 7,114A6131-602A,Y200180340,40,29,10,2022-03-30 22:42:36.381000,2022-03-31 00:27:54.947000,1.636,0.119,1.755
21,84,107,EVER 7,114A6131-602A,Y200180340,40,29,11,2022-03-31 01:25:40.822000,2022-03-31 02:46:31.308000,1.347,0.0,1.347
21,84,107,EVER 7,114A6131-602A,Y200180340,40,29,12,2022-03-31 03:21:51.400000,2022-03-31 04:49:47.411000,1.375,0.09,1.466
