factory_id,process_id,equipment_id,equipment_name,material,so,gop,qty,cycle_number,start_time,stop_time,spindle,idle_inter,total
21,84,48,DMU 50 3rd Generation #2,326P4S4041-204,Y200162060,60,3,1,2022-03-16 04:59:37.172,2022-03-16 05:20:25.199,0.291,0.056,0.347
21,84,48,DMU 50 3rd Generation #2,326P4S4041-204,Y200162060,60,3,2,2022-03-16 06:23:01.316,2022-03-16 06:44:07.152,0.298,0.054,0.352
21,84,48,DMU 50 3rd Generation #2,326P4S4041-204,Y200162060,60,3,3,2022-03-16 06:48:15.249,2022-03-16 07:18:09.415,0.291,0.207,0.498
21,84,48,DMU 50 3rd Generation #2,326P4S4041-204,Y200162070,60,3,1,2022-03-16 04:59:37.172,2022-03-16 05:20:25.199,0.291,0.056,0.347
21,84,48,DMU 50 3rd Generation #2,326P4S4041-204,Y200162070,60,3,2,2022-03-16 06:23:01.316,2022-03-16 06:44:07.152,0.298,0.054,0.352
21,84,48,DMU 50 3rd Generation #2,326P4S4041-204,Y200162070,60,3,3,2022-03-16 06:48:15.249,2022-03-16 07:18:09.415,0.291,0.207,0.498
21,84,48,DMU 50 3rd Generation #2,326P4S4041-204,Y200162080,60,3,1,2022-03-16 04:59:37.172,2022-03-16 05:20:25.199,0.291,0.056,0.347
21,84,48,DMU 50 3rd Generation #2,326P4S4041-204,Y200162080,60,3,2,2022-03-16 06:23:01.316,2022-03-16 06:44:07.152,0.298,0.054,0.352
21,84,48,DMU 50 3rd Generation #2,326P4S4041-204,Y200162080,60,3,3,2022-03-16 06:48:15.249,2022-03-16 07:18:09.415,0.291,0.207,0.498
21,47,111,ECOSPEED F1040 #2,V5725352120800,D200592200,10,1,1,2022-03-16 14:37:45.094,2022-03-16 15:30:13.163,0.777,0.097,0.874
21,47,111,ECOSPEED F1040 #2,V5725352121000,D200592210,10,1,1,2022-03-16 15:45:53.150,2022-03-16 16:38:17.459,0.777,0.096,0.873
21,47,111,ECOSPEED F1040 #2,V5725352121000,D200592220,10,1,1,2022-03-16 16:53:13.645,2022-03-16 17:45:53.731,0.781,0.097,0.878
21,47,111,ECOSPEED F1040 #2,V5725352121000,D200592230,10,1,1,2022-03-16 18:01:27.550,2022-03-16 18:53:54.022,0.776,0.098,0.874
21,47,110,YK 3070(TCP-30TS),V5312019020000,D200580480,20,1,1,2022-03-14 10:43:29.353,2022-03-16 09:22:32.977,19.767,26.884,46.651
21,47,110,YK 3070(TCP-30TS),V5312019020000,D200580490,20,1,1,2022-03-14 10:43:29.353,2022-03-16 09:22:32.977,19.767,26.884,46.651
