factory_id,process_id,equipment_id,equipment_name,material,so,gop,qty,total_cycle_avg,total_cycle_max,total_cycle_min,spindle_cycle_avg,spindle_cycle_max,spindle_cycle_min,idle_cycle_avg,idle_cycle_max,idle_cycle_min,start_time,stop_time,total_runtime
23,49,115,DMC60T#3,185A1351-402,D200594250,30,3,1.598,1.797,1.498,1.502,1.509,1.498,0.096,0.288,0.0,2022-04-06 04:28:34,2022-04-06 11:29:26,7.014
23,49,115,DMC60T#3,185A1351-402,D200594250,40,3,2.113,2.683,1.828,1.827,1.829,1.824,0.286,0.859,0.0,2022-04-06 19:43:56,2022-04-07 06:56:08,11.203
23,49,115,DMC60T#3,185A1351-401,D200594240,40,3,2.314,3.074,1.925,1.928,1.989,1.897,0.386,1.085,0.027,2022-04-06 11:29:45,2022-04-06 19:43:45,8.233
23,49,115,DMC60T#3,162D612605-2002,D200591680,20,1,0.536,0.536,0.536,0.289,0.289,0.289,0.247,0.247,0.247,2022-04-07 06:56:24,2022-04-07 07:29:57,0.559
21,47,111,ECOSPEED F1040 #2,V5725352520300,D200605610,20,1,0.539,0.539,0.539,0.501,0.501,0.501,0.038,0.038,0.038,2022-04-06 09:20:20,2022-04-06 09:54:52,0.576
21,47,111,ECOSPEED F1040 #2,V5725352520300,D200605590,20,1,0.546,0.546,0.546,0.509,0.509,0.509,0.037,0.037,0.037,2022-04-06 08:29:48,2022-04-06 09:09:02,0.654
21,47,111,ECOSPEED F1040 #2,V5725352420600,D200605200,20,1,0.477,0.477,0.477,0.463,0.463,0.463,0.014,0.014,0.014,2022-04-06 10:23:01,2022-04-06 10:57:19,0.572
21,47,111,ECOSPEED F1040 #2,V5725352420600,D200605170,20,1,0.483,0.483,0.483,0.468,0.468,0.468,0.015,0.015,0.015,2022-04-06 11:09:03,2022-04-06 11:43:52,0.58
21,47,111,ECOSPEED F1040 #2,V5725416921000,D200600350,20,1,3.941,3.941,3.941,2.935,2.935,2.935,1.007,1.007,1.007,2022-04-06 11:50:25,2022-04-06 15:50:42,4.005
21,47,111,ECOSPEED F1040 #2,V5725352420400,D200605190,20,1,0.501,0.501,0.501,0.484,0.484,0.484,0.017,0.017,0.017,2022-04-06 16:49:25,2022-04-06 17:34:05,0.744
21,47,111,ECOSPEED F1040 #2,V5725352420400,D200605180,20,1,0.503,0.503,0.503,0.494,0.494,0.494,0.009,0.009,0.009,2022-04-06 17:46:25,2022-04-06 18:29:07,0.712
21,47,111,ECOSPEED F1040 #2,V5725352420400,D200605150,20,1,0.5,0.5,0.5,0.495,0.495,0.495,0.006,0.006,0.006,2022-04-06 18:44:43,2022-04-06 19:17:29,0.546
21,47,111,ECOSPEED F1040 #2,V5725352420600,D200605160,20,1,0.476,0.476,0.476,0.452,0.452,0.452,0.023,0.023,0.023,2022-04-06 15:58:22,2022-04-06 16:34:16,0.598
21,47,109,G3020 #1,30P176101200-002A,D200592840,40,3,4.91,5.226,4.736,3.69,3.751,3.575,1.221,1.476,1.026,2022-04-06 06:49:27,2022-04-07 01:39:04,18.827
23,49,167,H5-800,311W1683-24,Y200182730,50,4,9.2,9.788,8.331,7.424,7.452,7.404,1.777,2.383,0.927,2022-04-02 03:45:05,2022-04-06 13:59:22,106.238
21,47,112,HFP1540 PROTO,V5312019120000,D200582410,60,1,7.114,7.114,7.114,5.374,5.374,5.374,1.741,1.741,1.741,2022-04-06 10:14:35,2022-04-06 17:50:00,7.59
23,49,117,KT MODU LINE #3,182A1507-753,D200580950,40,9,6.548,7.375,6.146,5.541,5.714,5.261,1.007,1.854,0.567,2022-04-01 09:29:17,2022-04-06 14:46:36,125.289
24,50,103,SB-416,D572-40285-203,D200587860,10,8,0.224,0.226,0.223,0.179,0.182,0.176,0.045,0.049,0.042,2022-04-06 11:52:53,2022-04-06 19:01:00,7.135
24,50,103,SB-416,D572-40293-203,D200590570,20,1,0.556,0.556,0.556,0.478,0.478,0.478,0.078,0.078,0.078,2022-04-06 23:37:04,2022-04-07 01:24:44,1.794
24,50,103,SB-416,D572-40285-203,D200587850,10,1,0.224,0.224,0.224,0.182,0.182,0.182,0.042,0.042,0.042,2022-04-06 11:34:56,2022-04-06 11:52:45,0.297
24,50,103,SB-416,D572-40293-203,D200590580,20,1,0.556,0.556,0.556,0.474,0.474,0.474,0.082,0.082,0.082,2022-04-06 22:34:59,2022-04-06 23:36:56,1.032
24,50,103,SB-416,D572-40285-203,D200587840,10,1,0.225,0.225,0.225,0.178,0.178,0.178,0.047,0.047,0.047,2022-04-06 11:14:27,2022-04-06 11:34:47,0.339
24,50,103,SB-416,D572-40285-203,D200587790,10,1,0.226,0.226,0.226,0.186,0.186,0.186,0.039,0.039,0.039,2022-04-06 10:38:54,2022-04-06 11:14:20,0.591
24,50,103,SB-416,D572-40285-203,D200587780,10,1,0.225,0.225,0.225,0.177,0.177,0.177,0.048,0.048,0.048,2022-04-06 10:17:37,2022-04-06 10:38:39,0.351
24,50,103,SB-416,D572-40285-203,D200587770,10,1,0.226,0.226,0.226,0.188,0.188,0.188,0.038,0.038,0.038,2022-04-06 09:37:14,2022-04-06 10:17:29,0.671
24,50,103,SB-416,D572-40293-203,D200591090,20,1,0.549,0.549,0.549,0.475,0.475,0.475,0.074,0.074,0.074,2022-04-07 01:24:54,2022-04-07 02:13:51,0.816
24,50,103,SB-416,D572-40293-203,D200590650,20,1,0.59,0.59,0.59,0.459,0.459,0.459,0.131,0.131,0.131,2022-04-06 20:21:04,2022-04-06 21:16:29,0.924
24,50,103,SB-416,D572-40293-203,D200590700,20,1,0.551,0.551,0.551,0.485,0.485,0.485,0.066,0.066,0.066,2022-04-06 07:09:58,2022-04-06 09:17:57,2.133
24,50,103,SB-416,D572-40293-203,D200591080,20,1,0.549,0.549,0.549,0.477,0.477,0.477,0.072,0.072,0.072,2022-04-07 02:13:58,2022-04-07 02:51:57,0.633
24,50,103,SB-416,D572-40293-203,D200590600,20,1,0.551,0.551,0.551,0.479,0.479,0.479,0.071,0.071,0.071,2022-04-06 21:49:45,2022-04-06 22:34:49,0.751
24,50,103,SB-416,D572-40293-203,D200591020,20,1,0.551,0.551,0.551,0.484,0.484,0.484,0.067,0.067,0.067,2022-04-07 06:11:37,2022-04-07 07:21:01,1.157
24,50,103,SB-416,D572-40293-203,D200591050,20,1,0.53,0.53,0.53,0.46,0.46,0.46,0.07,0.07,0.07,2022-04-07 03:34:31,2022-04-07 04:42:14,1.129
24,50,103,SB-416,D572-40293-203,D200591060,20,1,0.551,0.551,0.551,0.487,0.487,0.487,0.064,0.064,0.064,2022-04-07 02:52:02,2022-04-07 03:34:24,0.706
