factory_id,process_id,equipment_id,equipment_name,material,so,gop,qty,cycle_number,start_time,stop_time,spindle,idle_inter,total
23,49,115,DMC60T#3,185A1351-402,D200594250,30,3,1,2022-04-06 04:39:11.079914,2022-04-06 06:27:00.535934,1.509,0.288,1.797
23,49,115,DMC60T#3,185A1351-402,D200594250,30,3,2,2022-04-06 06:36:26.935013,2022-04-06 08:06:20.564000,1.498,0.0,1.498
23,49,115,DMC60T#3,185A1351-402,D200594250,30,3,3,2022-04-06 08:43:16.644000,2022-04-06 10:13:12.615264,1.499,0.0,1.499
23,49,115,DMC60T#3,185A1351-401,D200594240,40,3,1,2022-04-06 10:46:44.524768,2022-04-06 13:51:11.085000,1.989,1.085,3.074
23,49,115,DMC60T#3,185A1351-401,D200594240,40,3,2,2022-04-06 14:26:03.250000,2022-04-06 16:21:33.198000,1.898,0.027,1.925
23,49,115,DMC60T#3,185A1351-401,D200594240,40,3,3,2022-04-06 16:32:35.356081,2022-04-06 18:29:07.385000,1.897,0.045,1.942
23,49,115,DMC60T#3,185A1351-402,D200594250,40,3,1,2022-04-06 19:42:31.133758,2022-04-06 22:23:31.673638,1.824,0.859,2.683
23,49,115,DMC60T#3,185A1351-402,D200594250,40,3,2,2022-04-06 23:01:19.665000,2022-04-07 00:51:03.982000,1.829,0.0,1.829
23,49,115,DMC60T#3,185A1351-402,D200594250,40,3,3,2022-04-07 01:06:58.012000,2022-04-07 02:56:40.120684,1.828,0.0,1.828
23,49,115,DMC60T#3,162D612605-2002,D200591680,20,1,1,2022-04-07 06:51:58.437000,2022-04-07 07:24:06.450000,0.289,0.247,0.536
21,47,111,ECOSPEED F1040 #2,V5725352520300,D200605590,20,1,1,2022-04-06 08:30:10.305000,2022-04-06 09:02:56.733000,0.509,0.037,0.546
21,47,111,ECOSPEED F1040 #2,V5725352520300,D200605610,20,1,1,2022-04-06 09:21:30.586000,2022-04-06 09:53:50.786000,0.501,0.038,0.539
21,47,111,ECOSPEED F1040 #2,V5725352420600,D200605200,20,1,1,2022-04-06 10:23:38.583000,2022-04-06 10:52:16.826000,0.463,0.014,0.477
21,47,111,ECOSPEED F1040 #2,V5725352420600,D200605170,20,1,1,2022-04-06 11:09:07.144000,2022-04-06 11:38:05.122000,0.468,0.015,0.483
21,47,111,ECOSPEED F1040 #2,V5725416921000,D200600350,20,1,1,2022-04-06 11:50:45.050000,2022-04-06 15:47:13.790000,2.935,1.007,3.941
21,47,111,ECOSPEED F1040 #2,V5725352420600,D200605160,20,1,1,2022-04-06 15:58:43.966000,2022-04-06 16:27:16.121000,0.452,0.023,0.476
21,47,111,ECOSPEED F1040 #2,V5725352420400,D200605190,20,1,1,2022-04-06 16:49:49.967000,2022-04-06 17:19:53.949000,0.484,0.017,0.501
21,47,111,ECOSPEED F1040 #2,V5725352420400,D200605180,20,1,1,2022-04-06 17:47:12.247000,2022-04-06 18:17:24.453000,0.494,0.009,0.503
21,47,111,ECOSPEED F1040 #2,V5725352420400,D200605150,20,1,1,2022-04-06 18:45:08.440000,2022-04-06 19:15:08.654000,0.495,0.006,0.5
21,47,109,G3020 #1,30P176101200-002A,D200592840,40,3,1,2022-04-06 06:51:54.019000,2022-04-06 12:05:28.885000,3.751,1.476,5.226
21,47,109,G3020 #1,30P176101200-002A,D200592840,40,3,2,2022-04-06 13:38:15.327000,2022-04-06 18:24:24.129000,3.743,1.026,4.769
21,47,109,G3020 #1,30P176101200-002A,D200592840,40,3,3,2022-04-06 19:11:42.059000,2022-04-06 23:55:53.052000,3.575,1.161,4.736
23,49,167,H5-800,311W1683-24,Y200182730,50,4,1,2022-04-04 10:20:55.902000,2022-04-04 18:40:47.933605,7.404,0.927,8.331
23,49,167,H5-800,311W1683-24,Y200182730,50,4,2,2022-04-04 20:20:52.366749,2022-04-05 05:51:15.079342,7.452,2.055,9.506
23,49,167,H5-800,311W1683-24,Y200182730,50,4,3,2022-04-05 07:00:08.443560,2022-04-05 16:10:46.440267,7.435,1.742,9.177
23,49,167,H5-800,311W1683-24,Y200182730,50,4,4,2022-04-05 21:24:45.813607,2022-04-06 07:12:01.932000,7.405,2.383,9.788
21,47,112,HFP1540 PROTO,V5312019120000,D200582410,60,1,1,2022-04-06 10:16:32.965000,2022-04-06 17:23:24.759000,5.374,1.741,7.114
23,49,117,KT MODU LINE #3,182A1507-753,D200580950,40,9,1,2022-04-01 13:31:41.635620,2022-04-01 20:08:34.344000,5.535,1.079,6.615
23,49,117,KT MODU LINE #3,182A1507-753,D200580950,40,9,2,2022-04-01 20:50:05.915224,2022-04-02 03:06:17.625539,5.543,0.727,6.27
23,49,117,KT MODU LINE #3,182A1507-753,D200580950,40,9,3,2022-04-04 08:25:40.578486,2022-04-04 14:56:48.528936,5.714,0.805,6.519
23,49,117,KT MODU LINE #3,182A1507-753,D200580950,40,9,4,2022-04-04 16:02:17.937601,2022-04-04 22:13:23.895023,5.261,0.924,6.185
23,49,117,KT MODU LINE #3,182A1507-753,D200580950,40,9,5,2022-04-04 22:37:43.825877,2022-04-05 04:46:30.420000,5.579,0.567,6.146
23,49,117,KT MODU LINE #3,182A1507-753,D200580950,40,9,6,2022-04-05 05:10:50.702000,2022-04-05 11:27:20.597960,5.547,0.728,6.275
23,49,117,KT MODU LINE #3,182A1507-753,D200580950,40,9,7,2022-04-05 11:48:13.736000,2022-04-05 19:10:43.242884,5.521,1.854,7.375
