factory_id,process_id,equipment_id,equipment_name,material,so,gop,qty,total_cycle_avg,total_cycle_max,total_cycle_min,spindle_cycle_avg,spindle_cycle_max,spindle_cycle_min,idle_cycle_avg,idle_cycle_max,idle_cycle_min,start_time,stop_time,total_runtime
24,50,102,CMI 3S #8,172A2010-754A,D200595330,30,2,8.251,8.323,8.179,5.326,5.332,5.319,2.926,2.99,2.861,2022-04-18 21:56:59,2022-04-20 07:27:50,33.514
23,49,115,DMC60T#3,182A5702-4,D200597900,40,10,0.831,1.632,0.559,0.55,0.554,0.547,0.282,1.081,0.009,2022-04-18 21:38:19,2022-04-19 08:14:42,10.606
21,84,48,DMU 50 3rd Generation #2,114A7311-604,Y200158980,40,15,0.523,0.617,0.516,0.508,0.511,0.501,0.016,0.116,0.006,2022-04-19 10:52:08,2022-04-19 21:58:50,11.112
21,84,48,DMU 50 3rd Generation #2,114A7311-603,Y200158970,40,14,0.562,0.928,0.532,0.52,0.527,0.498,0.041,0.43,0.005,2022-04-18 21:23:18,2022-04-19 10:51:50,13.476
21,47,111,ECOSPEED F1040 #2,V5725351820000,D200593420,30,1,3.311,3.311,3.311,2.697,2.697,2.697,0.614,0.614,0.614,2022-04-19 09:50:24,2022-04-19 13:17:46,3.456
21,47,111,ECOSPEED F1040 #2,V5725351820000,D200593430,30,1,3.238,3.238,3.238,2.666,2.666,2.666,0.572,0.572,0.572,2022-04-19 14:44:54,2022-04-19 18:14:34,3.494
21,47,111,ECOSPEED F1040 #2,V5725351820200,D200593440,20,1,1.156,1.156,1.156,1.103,1.103,1.103,0.053,0.053,0.053,2022-04-19 18:14:45,2022-04-19 19:29:20,1.243
21,47,111,ECOSPEED F1040 #2,V5725352320600,D200605650,20,1,1.011,1.011,1.011,1.002,1.002,1.002,0.009,0.009,0.009,2022-04-19 08:24:45,2022-04-19 09:50:13,1.424
21,47,111,ECOSPEED F1040 #2,V5725352320600,D200605690,20,1,1.017,1.017,1.017,0.992,0.992,0.992,0.025,0.025,0.025,2022-04-19 13:18:00,2022-04-19 14:44:42,1.445
21,84,107,EVER 7,30P171700105-001A-K,D200574960,50,1,18.286,18.286,18.286,7.493,7.493,7.493,10.793,10.793,10.793,2022-04-18 23:31:22,2022-04-19 20:22:44,20.856
