factory_id,process_id,equipment_id,equipment_name,material,so,gop,qty,cycle_number,start_time,stop_time,spindle,idle_inter,total
21,84,48,DMU 50 3rd Generation #2,315A6156-73,Y200160790,50,41,1,2022-03-16 10:25:25.541,2022-03-16 13:09:21.933,0.718,2.014,2.732
21,84,48,DMU 50 3rd Generation #2,315A6156-73,Y200160790,50,41,2,2022-03-16 15:53:36.030,2022-03-16 16:52:30.485,0.818,0.164,0.982
21,84,48,DMU 50 3rd Generation #2,315A6156-73,Y200160790,50,41,3,2022-03-16 18:31:24.580,2022-03-16 19:25:26.771,0.727,0.173,0.901
21,84,48,DMU 50 3rd Generation #2,315A6156-73,Y200160790,50,41,4,2022-03-16 19:31:44.794,2022-03-16 20:15:48.544,0.715,0.019,0.734
21,84,48,DMU 50 3rd Generation #2,315A6156-73,Y200160790,50,41,5,2022-03-16 20:43:54.841,2022-03-16 21:28:00.986,0.726,0.009,0.735
21,84,48,DMU 50 3rd Generation #2,315A6156-73,Y200160790,50,41,6,2022-03-16 21:37:49.022,2022-03-16 22:21:52.911,0.724,0.01,0.734
21,84,48,DMU 50 3rd Generation #2,315A6156-73,Y200160790,50,41,7,2022-03-16 22:28:25.112,2022-03-16 23:12:29.005,0.713,0.022,0.734
21,84,48,DMU 50 3rd Generation #2,315A6156-73,Y200160790,50,41,8,2022-03-16 23:21:06.872,2022-03-17 00:05:13.325,0.725,0.01,0.735
21,84,48,DMU 50 3rd Generation #2,315A6156-73,Y200160790,50,41,9,2022-03-17 01:22:27.393,2022-03-17 02:06:33.569,0.715,0.02,0.735
21,84,48,DMU 50 3rd Generation #2,315A6156-73,Y200160790,50,41,10,2022-03-17 02:49:13.461,2022-03-17 03:33:15.643,0.725,0.009,0.734
21,84,48,DMU 50 3rd Generation #2,315A6156-73,Y200160790,50,41,11,2022-03-17 03:38:43.544,2022-03-17 04:22:49.833,0.717,0.018,0.735
21,84,48,DMU 50 3rd Generation #2,315A6156-73,Y200160790,50,41,12,2022-03-17 04:39:31.766,2022-03-17 05:23:35.852,0.725,0.009,0.734
21,84,48,DMU 50 3rd Generation #2,315A6156-73,Y200160790,50,41,13,2022-03-17 05:59:01.925,2022-03-17 06:43:06.130,0.724,0.011,0.735
21,84,48,DMU 50 3rd Generation #2,315A6156-73,Y200160790,50,41,14,2022-03-17 07:07:44.175,2022-03-17 07:51:52.262,0.714,0.022,0.736
21,84,48,DMU 50 3rd Generation #2,315A6156-73,Y200160790,50,41,15,2022-03-17 08:15:11.995,2022-03-17 08:59:16.293,0.73,0.004,0.735
21,84,48,DMU 50 3rd Generation #2,315A6156-73,Y200160790,50,41,16,2022-03-17 09:08:32.299,2022-03-17 09:52:34.427,0.714,0.02,0.734
21,84,48,DMU 50 3rd Generation #2,315A6156-73,Y200160790,50,41,17,2022-03-17 10:16:54.554,2022-03-17 11:01:00.632,0.726,0.009,0.735
21,84,48,DMU 50 3rd Generation #2,315A6156-73,Y200160790,50,41,18,2022-03-17 11:11:16.552,2022-03-17 11:55:20.577,0.713,0.021,0.734
21,84,48,DMU 50 3rd Generation #2,315A6156-73,Y200160790,50,41,19,2022-03-17 12:01:46.585,2022-03-17 12:45:50.612,0.715,0.02,0.734
21,84,48,DMU 50 3rd Generation #2,315A6156-73,Y200160790,50,41,20,2022-03-17 13:02:48.868,2022-03-17 13:46:52.866,0.717,0.017,0.734
21,84,48,DMU 50 3rd Generation #2,315A6156-73,Y200160790,50,41,21,2022-03-17 13:51:34.857,2022-03-17 14:35:38.888,0.727,0.007,0.734
21,84,48,DMU 50 3rd Generation #2,315A6156-73,Y200160790,50,41,22,2022-03-17 15:14:54.933,2022-03-17 15:58:59.134,0.728,0.007,0.735
21,84,48,DMU 50 3rd Generation #2,315A6156-73,Y200160790,50,41,23,2022-03-17 16:03:32.855,2022-03-17 16:47:37.289,0.714,0.021,0.735
21,84,48,DMU 50 3rd Generation #2,315A6156-73,Y200160790,50,41,24,2022-03-17 16:53:41.303,2022-03-17 17:37:47.381,0.725,0.01,0.735
21,84,48,DMU 50 3rd Generation #2,315A6156-73,Y200160790,50,41,25,2022-03-17 17:47:59.196,2022-03-17 18:32:03.124,0.724,0.01,0.734
21,84,48,DMU 50 3rd Generation #2,315A6156-73,Y200160790,50,41,26,2022-03-17 18:35:47.343,2022-03-17 19:19:47.589,0.722,0.011,0.733
21,84,48,DMU 50 3rd Generation #2,315A6156-73,Y200160790,50,41,27,2022-03-17 19:25:25.519,2022-03-17 20:09:29.690,0.725,0.009,0.734
21,84,48,DMU 50 3rd Generation #2,315A6156-73,Y200160790,50,41,28,2022-03-17 20:27:11.724,2022-03-17 21:11:15.779,0.715,0.02,0.734
21,84,48,DMU 50 3rd Generation #2,315A6156-73,Y200160790,50,41,29,2022-03-17 21:29:57.819,2022-03-17 22:14:01.725,0.724,0.011,0.734
21,84,48,DMU 50 3rd Generation #2,315A6156-73,Y200160790,50,41,30,2022-03-17 22:21:59.804,2022-03-17 23:06:15.792,0.728,0.009,0.738
21,84,48,DMU 50 3rd Generation #2,315A6156-73,Y200160790,50,41,31,2022-03-17 23:12:51.801,2022-03-17 23:56:54.100,0.713,0.021,0.734
21,84,48,DMU 50 3rd Generation #2,315A6156-73,Y200160790,50,41,32,2022-03-18 01:31:08.265,2022-03-18 02:15:12.261,0.716,0.018,0.734
21,84,48,DMU 50 3rd Generation #2,315A6156-73,Y200160790,50,41,33,2022-03-18 02:54:12.423,2022-03-18 03:38:16.522,0.723,0.012,0.734
21,84,48,DMU 50 3rd Generation #2,315A6156-73,Y200160790,50,41,34,2022-03-18 04:24:42.505,2022-03-18 05:08:46.701,0.713,0.022,0.734
21,84,48,DMU 50 3rd Generation #2,315A6156-73,Y200160790,50,41,35,2022-03-18 05:14:34.707,2022-03-18 05:58:40.689,0.714,0.021,0.735
21,84,48,DMU 50 3rd Generation #2,315A6156-73,Y200160790,50,41,36,2022-03-18 06:08:20.807,2022-03-18 06:52:26.892,0.731,0.004,0.735
21,84,48,DMU 50 3rd Generation #2,315A6156-73,Y200160790,50,41,37,2022-03-18 07:02:12.707,2022-03-18 07:46:17.010,0.714,0.021,0.735
21,84,48,DMU 50 3rd Generation #2,315A6156-73,Y200160790,50,41,38,2022-03-18 08:05:42.839,2022-03-18 08:49:46.875,0.723,0.011,0.734
21,84,48,DMU 50 3rd Generation #2,315A6156-73,Y200160790,50,41,39,2022-03-18 08:54:56.993,2022-03-18 09:39:03.244,0.714,0.021,0.735
21,84,48,DMU 50 3rd Generation #2,315A6156-73,Y200160790,50,41,40,2022-03-18 09:44:39.029,2022-03-18 10:28:33.341,0.709,0.022,0.732
21,84,48,DMU 50 3rd Generation #2,315A6156-73,Y200160790,50,41,41,2022-03-18 10:35:49.036,2022-03-18 11:19:53.369,0.725,0.01,0.735
21,47,111,ECOSPEED F1040 #2,V5725352220400,D200593260,20,1,1,2022-03-18 08:42:20.980,2022-03-18 09:23:15.026,0.616,0.066,0.682
21,47,111,ECOSPEED F1040 #2,V5725352620100,D200594730,20,1,1,2022-03-18 09:47:14.876,2022-03-18 10:20:21.193,0.51,0.042,0.552
21,47,111,ECOSPEED F1040 #2,V5725352620100,D200594710,20,1,1,2022-03-18 10:45:33.260,2022-03-18 11:18:39.387,0.495,0.057,0.552
21,47,111,ECOSPEED F1040 #2,V5725352220600,D200593250,20,1,1,2022-03-18 11:34:25.305,2022-03-18 13:05:05.506,0.626,0.885,1.511
