factory_id,process_id,equipment_id,equipment_name,material,so,gop,qty,cycle_number,start_time,stop_time,spindle,idle_inter,total
24,50,102,CMI 3S #8,182A2409-5,D200595360,30,1,1,2022-04-04 10:13:37.985778,2022-04-04 19:07:05.617452,5.519,3.372,8.891
23,49,115,DMC60T#3,182A2407-752A,D200596580,30,7,1,2022-04-01 22:14:09.853821,2022-04-01 23:52:08.393738,1.223,0.41,1.633
23,49,115,DMC60T#3,182A2407-752A,D200596580,30,7,2,2022-04-02 01:09:50.085685,2022-04-02 02:22:16.283000,1.201,0.007,1.207
23,49,115,DMC60T#3,182A2407-752A,D200596580,30,7,3,2022-04-02 02:27:04.306981,2022-04-02 03:46:34.474794,1.202,0.123,1.325
23,49,115,DMC60T#3,182A2407-752A,D200596580,30,7,4,2022-04-04 08:11:38.306000,2022-04-04 09:24:51.815550,1.184,0.036,1.22
23,49,115,DMC60T#3,182A2407-752A,D200596580,30,7,5,2022-04-04 09:28:52.533000,2022-04-04 10:54:58.667000,1.193,0.242,1.435
23,49,115,DMC60T#3,182A2407-752A,D200596580,30,7,6,2022-04-04 11:02:14.470000,2022-04-04 13:01:14.860000,1.186,0.798,1.983
23,49,115,DMC60T#3,182A2407-752A,D200596580,30,7,7,2022-04-04 13:04:46.755000,2022-04-04 14:17:14.770852,1.181,0.026,1.208
21,47,111,ECOSPEED F1040 #2,V5725352720000,D200600220,20,1,1,2022-04-04 08:32:05.668000,2022-04-04 09:03:45.721000,0.472,0.056,0.528
21,47,111,ECOSPEED F1040 #2,V5725352720000,D200600200,20,1,1,2022-04-04 09:49:35.714000,2022-04-04 10:21:17.865000,0.468,0.06,0.528
21,47,111,ECOSPEED F1040 #2,V5725416720000,D200600490,20,1,1,2022-04-04 11:01:53.844000,2022-04-04 12:15:44.523000,1.155,0.076,1.231
21,47,111,ECOSPEED F1040 #2,V5725416921000,D200593350,20,1,1,2022-04-04 13:15:42.456000,2022-04-04 16:45:14.930000,2.975,0.517,3.492
21,47,111,ECOSPEED F1040 #2,V5725416720000,D200600460,20,1,1,2022-04-04 16:56:17.104000,2022-04-04 18:10:37.556000,1.177,0.062,1.239
21,47,111,ECOSPEED F1040 #2,V5725416720000,D200600450,20,1,1,2022-04-04 18:32:41.604000,2022-04-04 19:46:35.841000,1.205,0.027,1.232
21,47,109,G3020 #1,30P176101200-002A,D200592840,30,1,1,2022-04-04 09:03:38.782000,2022-04-04 12:06:05.413000,2.209,0.831,3.041
21,47,109,G3020 #1,30P176101200-002A,D200592120,30,5,1,2022-04-04 13:20:05.514000,2022-04-04 16:02:07.682000,2.222,0.479,2.701
21,47,109,G3020 #1,30P176101200-002A,D200592120,30,5,2,2022-04-04 16:13:25.976000,2022-04-04 18:55:18.426000,2.21,0.488,2.698
21,47,109,G3020 #1,30P176101200-002A,D200592120,30,5,3,2022-04-04 19:19:04.231000,2022-04-04 22:01:16.927000,2.226,0.477,2.704
21,47,109,G3020 #1,30P176101200-002A,D200592120,30,5,4,2022-04-04 22:17:16.863000,2022-04-05 00:59:03.308000,2.218,0.478,2.696
21,47,109,G3020 #1,30P176101200-002A,D200592120,30,5,5,2022-04-05 01:18:03.352000,2022-04-05 03:59:55.994000,2.232,0.466,2.698
21,47,112,HFP1540 PROTO,V5312019120000,D200582380,50,1,1,2022-04-04 09:28:46.740000,2022-04-04 13:10:39.395000,3.476,0.222,3.698
21,47,112,HFP1540 PROTO,V5312019120000,D200582390,50,1,1,2022-04-04 14:01:15.530000,2022-04-04 18:31:42.668000,3.774,0.734,4.508
24,50,103,SB-416,D572-57837-203,D200570920,10,2,1,2022-04-04 11:11:29.767281,2022-04-04 11:25:07.915185,0.207,0.02,0.227
24,50,103,SB-416,D572-57837-203,D200570920,10,2,2,2022-04-04 11:31:03.739060,2022-04-04 11:44:39.994618,0.205,0.022,0.227
24,50,103,SB-416,D572-57837-203,D200587400,10,1,1,2022-04-04 11:49:30.012022,2022-04-04 12:03:06.054216,0.208,0.019,0.227
24,50,103,SB-416,D572-57837-203,D200587470,10,1,1,2022-04-04 13:13:02.310044,2022-04-04 13:26:36.252915,0.209,0.017,0.226
24,50,103,SB-416,D572-57837-203,D200587510,10,1,1,2022-04-04 13:33:26.278208,2022-04-04 13:46:50.420532,0.18,0.044,0.223
24,50,103,SB-416,D572-57837-203,D200587590,10,1,1,2022-04-04 14:08:52.408467,2022-04-04 14:22:18.568671,0.195,0.029,0.224
24,50,103,SB-416,D572-57837-202,D200571090,10,2,1,2022-04-04 14:32:54.610862,2022-04-04 14:46:22.660433,0.181,0.044,0.224
24,50,103,SB-416,D572-57837-202,D200571090,10,2,2,2022-04-04 14:51:16.667850,2022-04-04 15:04:42.724286,0.18,0.044,0.224
24,50,103,SB-416,D572-57837-202,D200587380,10,1,1,2022-04-04 15:24:24.802925,2022-04-04 15:37:50.841362,0.177,0.047,0.224
24,50,103,SB-416,D572-57837-202,D200587390,10,1,1,2022-04-04 15:43:38.758972,2022-04-04 15:56:58.921656,0.181,0.042,0.222
24,50,103,SB-416,D572-57837-202,D200587480,10,1,1,2022-04-04 16:04:14.827992,2022-04-04 16:17:40.989701,0.177,0.047,0.224
24,50,103,SB-416,D572-57837-202,D200587530,10,1,1,2022-04-04 16:22:41.012467,2022-04-04 16:36:05.059896,0.179,0.044,0.223
24,50,103,SB-416,D572-40297-203,D200588840,10,1,1,2022-04-04 16:54:12.913002,2022-04-04 17:01:11.043532,0.087,0.029,0.116
24,50,103,SB-416,D572-40297-203,D200588870,10,1,1,2022-04-04 18:06:25.415952,2022-04-04 18:13:23.436803,0.097,0.019,0.116
