factory_id,process_id,equipment_id,equipment_name,material,routing_revision,so,gop,qty,total_cycle_avg,total_cycle_max,total_cycle_min,spindle_cycle_avg,spindle_cycle_max,spindle_cycle_min,idle_cycle_avg,idle_cycle_max,idle_cycle_min,start_time,stop_time,total_runtime
23,49,116,MYNX500#1,182A1505-757,A,D200607950,10,32,0.259,0.301,0.256,0.258,0.277,0.256,0.001,0.024,0.0,2022-04-27 18:15:31,2022-04-28 08:22:45,14.121
23,49,116,MYNX500#1,182A1505-758,A,D200607960,10,32,0.26,0.396,0.253,0.257,0.281,0.253,0.004,0.115,0.0,2022-04-28 08:23:05,2022-04-28 21:53:06,13.5
24,50,103,SB-416,D572-40285-203,A,D200613370,20,1,2.041,2.041,2.041,0.696,0.696,0.696,1.345,1.345,1.345,2022-04-28 23:23:01,2022-04-29 01:39:58,2.282
24,50,103,SB-416,D572-40285-203,A,D200613360,20,1,0.908,0.908,0.908,0.699,0.699,0.699,0.208,0.208,0.208,2022-04-28 21:41:50,2022-04-28 23:22:50,1.683
24,50,103,SB-416,D572-40285-203,A,D200613350,20,1,0.925,0.925,0.925,0.7,0.7,0.7,0.225,0.225,0.225,2022-04-28 09:10:43,2022-04-28 10:40:57,1.504
24,50,103,SB-416,D572-40285-203,A,D200613340,20,1,0.842,0.842,0.842,0.695,0.695,0.695,0.147,0.147,0.147,2022-04-28 10:41:03,2022-04-28 11:50:54,1.164
24,50,103,SB-416,D572-40285-203,A,D200613400,20,1,0.817,0.817,0.817,0.682,0.682,0.682,0.135,0.135,0.135,2022-04-28 16:56:54,2022-04-28 18:01:47,1.081
24,50,103,SB-416,D572-40285-203,A,D200613410,20,1,0.81,0.81,0.81,0.687,0.687,0.687,0.123,0.123,0.123,2022-04-28 18:01:58,2022-04-28 19:16:32,1.243
24,50,103,SB-416,D572-40293-203,A,D200615620,20,1,0.55,0.55,0.55,0.494,0.494,0.494,0.056,0.056,0.056,2022-04-29 03:26:35,2022-04-29 04:10:03,0.724
24,50,103,SB-416,D572-40285-203,A,D200613440,20,2,1.19,1.454,0.926,0.69,0.701,0.679,0.5,0.775,0.225,2022-04-28 11:51:03,2022-04-28 14:37:32,2.775
24,50,103,SB-416,D572-40293-203,A,D200615600,20,1,0.556,0.556,0.556,0.521,0.521,0.521,0.036,0.036,0.036,2022-04-29 04:53:34,2022-04-29 06:01:01,1.124
24,50,103,SB-416,D572-40293-203,A,D200615610,20,1,0.841,0.841,0.841,0.486,0.486,0.486,0.354,0.354,0.354,2022-04-29 06:01:09,2022-04-29 07:06:17,1.086
24,50,103,SB-416,D572-40285-203,A,D200613380,20,1,0.856,0.856,0.856,0.693,0.693,0.693,0.163,0.163,0.163,2022-04-28 19:16:52,2022-04-28 20:25:13,1.139
24,50,103,SB-416,D572-40293-203,A,D200615630,20,1,0.557,0.557,0.557,0.517,0.517,0.517,0.04,0.04,0.04,2022-04-29 04:10:14,2022-04-29 04:53:21,0.719
24,50,103,SB-416,D572-40293-203,A,D200615640,20,1,0.608,0.608,0.608,0.49,0.49,0.49,0.118,0.118,0.118,2022-04-29 01:40:06,2022-04-29 02:22:51,0.712
24,50,103,SB-416,D572-40293-203,A,D200615650,20,1,0.549,0.549,0.549,0.503,0.503,0.503,0.046,0.046,0.046,2022-04-29 02:23:00,2022-04-29 03:26:27,1.058
24,50,103,SB-416,D572-40285-203,A,D200613420,20,2,0.799,0.831,0.767,0.692,0.694,0.691,0.107,0.141,0.073,2022-04-28 14:37:53,2022-04-28 16:35:28,1.96
24,50,103,SB-416,D572-40285-203,A,D200613390,20,1,0.994,0.994,0.994,0.698,0.698,0.698,0.296,0.296,0.296,2022-04-28 20:25:30,2022-04-28 21:41:41,1.27
21,47,108,SNK RB-200F(2060),144A1510-39,C,Y100392500,1400,1,0.98,0.98,0.98,0.725,0.725,0.725,0.256,0.256,0.256,2022-04-28 17:44:27,2022-04-28 18:50:51,1.107
21,47,108,SNK RB-200F(2060),144A1510-39,C,Y100392510,1400,1,0.717,0.717,0.717,0.71,0.71,0.71,0.007,0.007,0.007,2022-04-28 15:46:17,2022-04-28 16:38:29,0.87
21,47,108,SNK RB-200F(2060),144A1510-39,C,Y100392520,1400,1,0.714,0.714,0.714,0.714,0.714,0.714,0.0,0.0,0.0,2022-04-28 16:38:35,2022-04-28 17:35:36,0.95
21,47,108,SNK RB-200F(2060),144A1510-39,C,Y100392530,1400,1,0.755,0.755,0.755,0.715,0.715,0.715,0.04,0.04,0.04,2022-04-28 13:56:15,2022-04-28 14:51:57,0.928
21,47,108,SNK RB-200F(2060),144A1510-39,C,Y100392540,1400,1,1.757,1.757,1.757,0.719,0.719,0.719,1.038,1.038,1.038,2022-04-28 11:56:47,2022-04-28 13:56:03,1.988
21,47,108,SNK RB-200F(2060),144A1510-39,C,Y100392550,1400,1,0.717,0.717,0.717,0.717,0.717,0.717,0.0,0.0,0.0,2022-04-28 10:56:00,2022-04-28 11:56:33,1.009
21,47,108,SNK RB-200F(2060),144A1510-39,C,Y100392490,1400,1,0.722,0.722,0.722,0.717,0.717,0.717,0.005,0.005,0.005,2022-04-28 14:52:04,2022-04-28 15:46:11,0.902
21,47,108,SNK RB-200F(2060),116W3104-27,A,D200594780,20,2,2.907,3.016,2.799,2.428,2.482,2.375,0.479,0.641,0.317,2022-04-28 01:33:04,2022-04-28 09:17:11,7.735
23,49,119,VMP8-6P,A81063320-03,B,D200609670,20,1,4.862,4.862,4.862,4.158,4.158,4.158,0.703,0.703,0.703,2022-04-28 02:36:44,2022-04-28 08:33:06,5.939
23,49,119,VMP8-6P,A81063314-03,C,D200609410,20,1,5.62,5.62,5.62,3.226,3.226,3.226,2.394,2.394,2.394,2022-04-28 20:43:01,2022-04-29 03:25:44,6.712
23,49,119,VMP8-6P,A81063314-03,C,D200609400,20,1,6.095,6.095,6.095,3.227,3.227,3.227,2.868,2.868,2.868,2022-04-28 09:15:45,2022-04-28 15:36:15,6.342
23,49,119,VMP8-6P,A81063314-03,C,D200609390,20,1,4.723,4.723,4.723,3.226,3.226,3.226,1.498,1.498,1.498,2022-04-28 15:36:24,2022-04-28 20:42:32,5.102
