factory_id,process_id,equipment_id,equipment_name,material,so,gop,qty,cycle_number,start_time,stop_time,spindle,idle_inter,total
21,84,48,DMU 50 3rd Generation #2,RD00103134-47,Y200147720,60,3,1,2022-03-10 23:26:56.791,2022-03-11 02:18:03.005,1.915,0.937,2.852
21,84,48,DMU 50 3rd Generation #2,RD00103134-47,Y200147720,60,3,2,2022-03-11 02:22:05.131,2022-03-11 04:44:55.385,1.914,0.467,2.381
21,84,48,DMU 50 3rd Generation #2,RD00103134-47,Y200147720,60,3,3,2022-03-11 04:49:45.295,2022-03-11 07:01:09.530,1.946,0.244,2.19
21,84,48,DMU 50 3rd Generation #2,RD00103134-42,Y200147660,60,2,1,2022-03-11 11:15:38.134,2022-03-11 14:50:32.557,1.764,1.818,3.582
21,84,48,DMU 50 3rd Generation #2,RD00103134-42,Y200147660,60,2,2,2022-03-11 15:23:10.614,2022-03-11 17:34:44.872,1.63,0.563,2.193
21,84,48,DMU 50 3rd Generation #2,RD00103134-41,Y200147650,60,2,1,2022-03-11 11:15:38.134,2022-03-11 14:50:32.557,1.756,1.826,3.582
21,84,48,DMU 50 3rd Generation #2,RD00103134-41,Y200147650,60,2,2,2022-03-11 15:23:10.614,2022-03-11 17:34:44.872,1.631,0.562,2.193
