factory_id,process_id,equipment_id,equipment_name,material,so,gop,qty,total_cycle_avg,total_cycle_max,total_cycle_min,spindle_cycle_avg,spindle_cycle_max,spindle_cycle_min,idle_cycle_avg,idle_cycle_max,idle_cycle_min,start_time,stop_time,total_runtime
24,50,102,CMI 3S #8,182A2408-5,D200595370,20,1,7.025,7.025,7.025,3.308,3.308,3.308,3.717,3.717,3.717,2022-04-12 21:38:33,2022-04-13 05:38:37,8.001
23,49,115,DMC60T#3,182A5605-4,D200594470,30,9,0.887,0.89,0.88,0.886,0.89,0.88,0.0,0.001,0.0,2022-04-12 17:57:45,2022-04-13 04:48:56,10.853
23,49,115,DMC60T#3,182A5704-4,D200599220,30,10,1.046,2.217,0.704,0.67,0.697,0.645,0.377,1.552,0.012,2022-04-11 23:28:13,2022-04-12 14:09:07,14.682
21,84,48,DMU 50 3rd Generation #2,326P6S3721-204,Y200162880,70,4,0.312,0.448,0.266,0.261,0.264,0.259,0.05,0.183,0.006,2022-04-12 18:50:23,2022-04-13 02:16:13,7.431
21,84,48,DMU 50 3rd Generation #2,326P6S3721-204,Y200162880,60,8,0.328,0.506,0.272,0.292,0.324,0.263,0.035,0.187,0.002,2022-04-12 09:16:42,2022-04-12 18:46:36,9.498
21,84,48,DMU 50 3rd Generation #2,326P6S3721-204,Y200162870,70,4,0.312,0.448,0.266,0.261,0.264,0.259,0.05,0.183,0.006,2022-04-12 18:50:23,2022-04-13 02:16:13,7.431
21,84,48,DMU 50 3rd Generation #2,326P6S3721-204,Y200162870,60,8,0.328,0.506,0.272,0.292,0.324,0.263,0.035,0.187,0.002,2022-04-12 09:16:42,2022-04-12 18:46:36,9.498
21,84,48,DMU 50 3rd Generation #2,326P6S3721-203,Y200162860,60,4,0.438,0.776,0.323,0.314,0.32,0.312,0.124,0.465,0.008,2022-04-12 05:59:20,2022-04-12 09:15:07,3.263
21,84,48,DMU 50 3rd Generation #2,326P6S3721-203,Y200162850,60,4,0.438,0.776,0.323,0.314,0.32,0.312,0.124,0.465,0.008,2022-04-12 05:59:20,2022-04-12 09:15:07,3.263
21,47,111,ECOSPEED F1040 #2,V5725352620100,D200605550,20,1,0.553,0.553,0.553,0.526,0.526,0.526,0.027,0.027,0.027,2022-04-12 15:35:54,2022-04-12 16:22:27,0.776
21,47,111,ECOSPEED F1040 #2,V5725352620000,D200605560,20,1,0.551,0.551,0.551,0.538,0.538,0.538,0.013,0.013,0.013,2022-04-12 11:00:41,2022-04-12 11:40:54,0.67
21,47,111,ECOSPEED F1040 #2,V5725352020400,D200600310,30,1,2.764,2.764,2.764,2.233,2.233,2.233,0.531,0.531,0.531,2022-04-12 16:22:38,2022-04-12 19:14:39,2.867
21,47,111,ECOSPEED F1040 #2,V5725352020400,D200600310,20,1,1.192,1.192,1.192,1.168,1.168,1.168,0.024,0.024,0.024,2022-04-12 08:04:09,2022-04-12 09:22:04,1.299
21,47,111,ECOSPEED F1040 #2,V5725352020400,D200600300,30,1,3.635,3.635,3.635,2.207,2.207,2.207,1.428,1.428,1.428,2022-04-12 11:50:06,2022-04-12 15:33:49,3.729
21,47,111,ECOSPEED F1040 #2,V5725352620000,D200605570,20,1,1.134,1.134,1.134,0.517,0.517,0.517,0.617,0.617,0.617,2022-04-12 09:36:10,2022-04-12 10:52:29,1.272
21,84,107,EVER 7,30P171700105-001A-K,D200574960,40,1,5.031,5.031,5.031,3.573,3.573,3.573,1.458,1.458,1.458,2022-04-12 08:13:53,2022-04-12 15:41:04,7.453
21,84,107,EVER 7,30P171700105-001A-K,D200574950,40,1,4.208,4.208,4.208,3.948,3.948,3.948,0.26,0.26,0.26,2022-04-12 01:58:15,2022-04-12 08:13:38,6.256
21,84,107,EVER 7,30P171700105-001A-K,D200574930,40,1,4.548,4.548,4.548,3.696,3.696,3.696,0.852,0.852,0.852,2022-04-12 15:41:16,2022-04-12 21:05:46,5.408
21,47,109,G3020 #1,116W3103-504,D200580620,30,2,2.112,2.425,1.798,1.443,1.447,1.439,0.669,0.986,0.352,2022-04-12 19:24:25,2022-04-13 01:03:44,5.655
21,47,109,G3020 #1,30P176101200-001A,D200592130,40,5,4.615,4.754,4.538,3.716,3.765,3.641,0.899,0.989,0.807,2022-04-11 08:29:29,2022-04-12 11:33:30,27.067
21,47,109,G3020 #1,116W3103-503,D200580610,30,2,2.225,2.725,1.725,1.364,1.369,1.359,0.861,1.356,0.366,2022-04-12 13:36:05,2022-04-12 19:24:14,5.802
23,49,167,H5-800,RF00102113-4,Y200184580,80,1,2.851,2.851,2.851,1.469,1.469,1.469,1.381,1.381,1.381,2022-04-12 10:22:43,2022-04-12 13:29:11,3.108
21,47,112,HFP1540 PROTO,V5312019120000,D200582350,50,1,3.937,3.937,3.937,3.643,3.643,3.643,0.294,0.294,0.294,2022-04-12 13:22:00,2022-04-12 17:33:57,4.199
21,47,112,HFP1540 PROTO,V5312019120000,D200582340,50,1,3.847,3.847,3.847,3.766,3.766,3.766,0.082,0.082,0.082,2022-04-12 08:15:55,2022-04-12 13:05:59,4.834
23,49,117,KT MODU LINE #3,182A1507-753,D200594700,40,1,7.221,7.221,7.221,5.595,5.595,5.595,1.626,1.626,1.626,2022-04-12 08:05:05,2022-04-13 05:47:04,21.7
24,50,104,MC18200 #1,182T3103-7A,D200582110,40,1,1.021,1.021,1.021,0.991,0.991,0.991,0.03,0.03,0.03,2022-04-13 03:16:02,2022-04-13 05:56:25,2.673
24,50,104,MC18200 #1,182T3103-8A,D200582130,40,15,1.619,2.318,1.081,1.281,1.444,1.027,0.338,0.927,0.031,2022-04-08 22:02:03,2022-04-12 20:14:04,94.2
23,49,114,MP2150,F5724407420001,D200604310,10,1,0.453,0.453,0.453,0.274,0.274,0.274,0.18,0.18,0.18,2022-04-12 22:59:00,2022-04-13 00:37:54,1.648
23,49,114,MP2150,F5724403320101,D200601870,10,1,0.4,0.4,0.4,0.223,0.223,0.223,0.177,0.177,0.177,2022-04-13 01:33:07,2022-04-13 02:46:45,1.227
23,49,114,MP2150,F5724403320001,D200601910,10,1,0.353,0.353,0.353,0.223,0.223,0.223,0.13,0.13,0.13,2022-04-13 03:37:45,2022-04-13 04:18:39,0.682
23,49,114,MP2150,F5724403320001,D200601900,10,1,0.354,0.354,0.354,0.28,0.28,0.28,0.075,0.075,0.075,2022-04-13 04:19:06,2022-04-13 05:51:07,1.534
23,49,114,MP2150,F5724403320001,D200601920,10,1,0.487,0.487,0.487,0.18,0.18,0.18,0.307,0.307,0.307,2022-04-13 02:47:00,2022-04-13 03:37:21,0.839
23,49,114,MP2150,F5724407420101,D200604340,10,1,0.38,0.38,0.38,0.275,0.275,0.275,0.105,0.105,0.105,2022-04-13 00:38:09,2022-04-13 01:32:52,0.912
23,49,116,MYNX500#1,185A1113-23,D200594490,30,2,0.265,0.304,0.226,0.236,0.245,0.226,0.029,0.058,0.0,2022-04-13 03:48:19,2022-04-13 04:35:07,0.78
23,49,116,MYNX500#1,185A1113-33,D200594510,30,2,0.224,0.254,0.195,0.202,0.209,0.195,0.022,0.045,0.0,2022-04-13 04:35:21,2022-04-13 05:52:07,1.279
23,49,116,MYNX500#1,186A3008-752A,D200601140,20,19,0.346,0.738,0.323,0.326,0.355,0.323,0.02,0.383,0.0,2022-04-12 17:56:50,2022-04-13 03:48:03,9.854
23,49,116,MYNX500#1,186A3008-752A,D200601150,20,19,0.346,0.738,0.323,0.326,0.355,0.323,0.02,0.383,0.0,2022-04-12 17:56:50,2022-04-13 03:48:03,9.854
23,49,116,MYNX500#1,186A3008-753A,D200601160,20,19,0.299,0.581,0.279,0.284,0.309,0.279,0.015,0.271,0.0,2022-04-12 06:10:04,2022-04-12 17:56:31,11.774
23,49,116,MYNX500#1,186A3008-753A,D200601170,20,19,0.308,0.581,0.279,0.287,0.352,0.279,0.02,0.271,0.0,2022-04-12 06:10:04,2022-04-12 17:56:31,11.774
24,50,103,SB-416,D572-57844-203,D200591180,20,1,0.554,0.554,0.554,0.422,0.422,0.422,0.133,0.133,0.133,2022-04-12 14:12:12,2022-04-12 14:59:31,0.789
24,50,103,SB-416,D572-57844-203,D200591200,20,1,0.555,0.555,0.555,0.432,0.432,0.432,0.123,0.123,0.123,2022-04-12 13:10:38,2022-04-12 14:12:05,1.024
24,50,103,SB-416,D572-57844-203,D200591280,20,2,0.553,0.553,0.553,0.42,0.457,0.383,0.134,0.171,0.096,2022-04-12 11:13:57,2022-04-12 13:10:05,1.936
24,50,103,SB-416,D572-57844-203,D200591340,20,1,0.557,0.557,0.557,0.462,0.462,0.462,0.095,0.095,0.095,2022-04-12 08:37:39,2022-04-12 09:29:41,0.867
24,50,103,SB-416,D572-57844-203,D200591330,20,1,0.557,0.557,0.557,0.463,0.463,0.463,0.095,0.095,0.095,2022-04-12 09:29:49,2022-04-12 10:25:56,0.935
24,50,103,SB-416,D572-57844-203,D200591400,20,1,0.555,0.555,0.555,0.439,0.439,0.439,0.116,0.116,0.116,2022-04-12 06:36:24,2022-04-12 08:37:31,2.019
24,50,103,SB-416,D572-57844-203,D200574300,20,1,0.609,0.609,0.609,0.44,0.44,0.44,0.169,0.169,0.169,2022-04-12 18:39:24,2022-04-12 19:32:10,0.879
24,50,103,SB-416,D572-57844-203,D200591290,20,1,0.53,0.53,0.53,0.423,0.423,0.423,0.107,0.107,0.107,2022-04-12 10:26:06,2022-04-12 11:13:52,0.796
24,50,103,SB-416,D572-57844-203,D200574280,20,1,0.554,0.554,0.554,0.43,0.43,0.43,0.124,0.124,0.124,2022-04-12 17:32:12,2022-04-12 18:39:16,1.118
24,50,103,SB-416,D572-57837-202,D200587380,20,1,1.045,1.045,1.045,0.633,0.633,0.633,0.412,0.412,0.412,2022-04-12 22:44:40,2022-04-13 02:42:59,3.972
24,50,103,SB-416,D572-57844-203,D200574250,20,1,0.555,0.555,0.555,0.433,0.433,0.433,0.122,0.122,0.122,2022-04-12 14:59:38,2022-04-12 15:46:49,0.786
24,50,103,SB-416,D572-57837-202,D200587530,20,1,0.798,0.798,0.798,0.581,0.581,0.581,0.218,0.218,0.218,2022-04-12 19:32:17,2022-04-12 20:46:46,1.241
24,50,103,SB-416,D572-57837-202,D200587480,20,1,0.753,0.753,0.753,0.612,0.612,0.612,0.141,0.141,0.141,2022-04-12 20:46:56,2022-04-12 21:42:31,0.926
24,50,103,SB-416,D572-57837-202,D200587390,20,1,0.79,0.79,0.79,0.631,0.631,0.631,0.159,0.159,0.159,2022-04-12 21:42:40,2022-04-12 22:44:32,1.031
24,50,103,SB-416,D572-57837-202,D200571090,20,1,2.192,2.192,2.192,0.662,0.662,0.662,1.531,1.531,1.531,2022-04-13 03:40:48,2022-04-13 06:15:04,2.571
24,50,103,SB-416,D572-57837-202,D200571080,20,1,0.828,0.828,0.828,0.633,0.633,0.633,0.195,0.195,0.195,2022-04-13 02:43:15,2022-04-13 03:40:35,0.956
24,50,103,SB-416,D572-57844-203,D200574260,20,2,0.555,0.556,0.554,0.426,0.431,0.42,0.129,0.135,0.123,2022-04-12 15:46:55,2022-04-12 17:31:47,1.748
21,47,108,SNK RB-200F(2060),116W2314-503,D200597730,20,4,2.343,2.785,2.111,1.666,1.77,1.585,0.676,1.015,0.449,2022-04-12 00:05:22,2022-04-12 11:30:30,11.419
21,84,105,VC630/5AX #S4,141A3321-5,Y200180940,40,12,0.421,0.601,0.395,0.379,0.405,0.272,0.042,0.201,0.002,2022-04-12 14:14:59,2022-04-13 02:52:08,12.619
21,84,105,VC630/5AX #S4,RF00103113-2,Y200180110,40,5,0.319,0.619,0.219,0.246,0.269,0.219,0.073,0.349,0.0,2022-04-11 09:24:21,2022-04-12 13:38:55,28.243
23,49,119,VMP8-6P,A81019385-02,D200601010,30,4,4.987,9.853,2.906,2.468,2.482,2.45,2.519,7.371,0.441,2022-04-11 10:29:22,2022-04-12 09:08:26,22.651
