factory_id,process_id,equipment_id,equipment_name,material,routing_revision,so,gop,qty,cycle_number,start_time,stop_time,spindle,idle_inter,total
23,49,115,DMC60T#3,182A5604-4,A,D200608860,30,10,1,2022-04-26 18:50:49.610088,2022-04-26 20:04:31.634668,0.976,0.253,1.228
23,49,115,DMC60T#3,182A5604-4,A,D200608860,30,10,2,2022-04-26 20:20:23.481873,2022-04-26 21:15:57.921346,0.926,0.0,0.926
23,49,115,DMC60T#3,182A5604-4,A,D200608860,30,10,3,2022-04-26 21:58:23.883000,2022-04-26 23:13:00.964641,0.854,0.389,1.244
23,49,115,DMC60T#3,182A5604-4,A,D200608860,30,10,4,2022-04-26 23:24:25.394839,2022-04-27 00:15:07.654153,0.845,0.0,0.845
23,49,115,DMC60T#3,182A5604-4,A,D200608860,30,10,5,2022-04-27 01:07:54.108000,2022-04-27 01:58:32.429000,0.844,0.0,0.844
23,49,115,DMC60T#3,182A5604-4,A,D200608860,30,10,6,2022-04-27 02:20:12.227622,2022-04-27 03:10:52.085447,0.844,0.0,0.844
23,49,115,DMC60T#3,182A5604-4,A,D200608860,30,10,7,2022-04-27 03:33:46.554000,2022-04-27 04:24:32.654000,0.846,0.0,0.846
23,49,115,DMC60T#3,182A5604-4,A,D200608860,30,10,8,2022-04-27 04:36:50.221870,2022-04-27 05:27:30.841866,0.845,0.0,0.845
23,49,115,DMC60T#3,182A5604-4,A,D200608860,30,10,9,2022-04-27 06:01:38.379574,2022-04-27 06:52:18.785000,0.845,0.0,0.845
23,49,115,DMC60T#3,182A5604-4,A,D200608860,30,10,10,2022-04-27 07:10:46.917000,2022-04-27 08:01:22.216469,0.843,0.0,0.843
23,49,115,DMC60T#3,182A5604-4,A,D200608820,30,10,1,2022-04-27 08:22:08.227098,2022-04-27 09:17:50.219116,0.928,0.0,0.928
23,49,115,DMC60T#3,182A5604-4,A,D200608820,30,10,2,2022-04-27 09:28:33.986253,2022-04-27 10:24:21.748357,0.93,0.0,0.93
