factory_id,process_id,equipment_id,equipment_name,material,routing_revision,so,gop,qty,total_cycle_avg,total_cycle_max,total_cycle_min,spindle_cycle_avg,spindle_cycle_max,spindle_cycle_min,idle_cycle_avg,idle_cycle_max,idle_cycle_min,start_time,stop_time,total_runtime
24,50,103,SB-416,D572-40293-203,A,D200615580,10,4,0.241,0.246,0.235,0.217,0.229,0.209,0.024,0.032,0.016,2022-04-27 14:31:33,2022-04-27 15:55:59,1.407
24,50,103,SB-416,D572-40284-203,A,D200613980,20,1,0.513,0.513,0.513,0.474,0.474,0.474,0.039,0.039,0.039,2022-04-28 02:36:03,2022-04-28 03:28:24,0.872
24,50,103,SB-416,D572-40284-203,A,D200613970,20,1,0.725,0.725,0.725,0.443,0.443,0.443,0.282,0.282,0.282,2022-04-27 23:10:31,2022-04-28 01:13:33,2.051
24,50,103,SB-416,D572-40284-203,A,D200613960,20,1,0.516,0.516,0.516,0.463,0.463,0.463,0.052,0.052,0.052,2022-04-28 01:13:49,2022-04-28 01:52:52,0.651
24,50,103,SB-416,D572-40284-203,A,D200613950,20,1,1.158,1.158,1.158,0.443,0.443,0.443,0.715,0.715,0.715,2022-04-27 07:11:27,2022-04-27 09:16:50,2.09
24,50,103,SB-416,D572-40284-203,A,D200613940,20,1,0.616,0.616,0.616,0.456,0.456,0.456,0.16,0.16,0.16,2022-04-27 22:27:09,2022-04-27 23:10:23,0.721
24,50,103,SB-416,D572-40293-203,A,D200615500,10,4,0.244,0.246,0.242,0.219,0.227,0.207,0.025,0.037,0.019,2022-04-27 11:05:02,2022-04-27 13:08:21,2.055
24,50,103,SB-416,D572-40293-203,A,D200615540,10,4,0.239,0.246,0.223,0.211,0.214,0.209,0.027,0.033,0.014,2022-04-27 13:08:40,2022-04-27 14:31:17,1.377
24,50,103,SB-416,D572-40285-203,A,D200613450,10,1,0.225,0.225,0.225,0.185,0.185,0.185,0.04,0.04,0.04,2022-04-27 21:47:55,2022-04-27 22:27:00,0.651
24,50,103,SB-416,D572-40293-203,A,D200615620,10,4,0.244,0.245,0.242,0.206,0.214,0.203,0.037,0.041,0.031,2022-04-27 15:56:29,2022-04-27 17:38:32,1.701
24,50,103,SB-416,D572-40284-203,A,D200613990,20,1,0.523,0.523,0.523,0.471,0.471,0.471,0.052,0.052,0.052,2022-04-28 01:53:01,2022-04-28 02:35:53,0.714
24,50,103,SB-416,D572-40293-203,A,D200615420,10,4,0.267,0.337,0.243,0.216,0.226,0.205,0.05,0.127,0.018,2022-04-27 09:17:03,2022-04-27 11:04:46,1.795
21,47,108,SNK RB-200F(2060),116W3104-27,A,D200594770,20,2,3.121,3.211,3.031,2.456,2.481,2.43,0.666,0.73,0.602,2022-04-27 18:00:04,2022-04-28 01:32:56,7.548
21,47,108,SNK RB-200F(2060),116W3104-28,A,D200594790,20,2,3.312,4.057,2.567,2.522,2.733,2.31,0.79,1.324,0.257,2022-04-27 09:59:09,2022-04-27 17:30:30,7.522
23,49,119,VMP8-6P,172A1006-4,A,D200594350,50,2,1.135,1.137,1.133,1.118,1.119,1.118,0.016,0.018,0.015,2022-04-27 11:47:26,2022-04-27 14:33:44,2.772
23,49,119,VMP8-6P,172A1006-4,A,D200594300,50,1,1.129,1.129,1.129,1.112,1.112,1.112,0.017,0.017,0.017,2022-04-27 09:59:33,2022-04-27 11:46:02,1.775
23,49,119,VMP8-6P,172A1006-4,A,D200594360,50,1,1.13,1.13,1.13,1.121,1.121,1.121,0.009,0.009,0.009,2022-04-27 07:28:33,2022-04-27 09:59:06,2.509
23,49,119,VMP8-6P,A81063320-03,B,D200609680,20,1,9.525,9.525,9.525,4.363,4.363,4.363,5.162,5.162,5.162,2022-04-27 16:21:34,2022-04-28 02:36:23,10.247
