factory_id,process_id,equipment_id,equipment_name,material,so,gop,qty,cycle_number,start_time,stop_time,spindle,idle_inter,total
24,50,102,CMI 3S #8,182A2409-5,D200595360,20,1,1,2022-03-31 23:12:58.190038,2022-04-01 06:05:27.280276,3.164,3.71,6.875
23,49,115,DMC60T#3,175A1302-1,D200577240,30,12,1,2022-03-30 20:12:48.022155,2022-03-30 21:47:03.701000,1.201,0.37,1.571
23,49,115,DMC60T#3,175A1302-1,D200577240,30,12,2,2022-03-30 22:57:11.838000,2022-03-31 00:16:30.262000,1.304,0.018,1.322
23,49,115,DMC60T#3,175A1302-1,D200577240,30,12,3,2022-03-31 01:12:30.006000,2022-03-31 02:31:48.440000,1.303,0.019,1.322
23,49,115,DMC60T#3,175A1302-1,D200577240,30,12,4,2022-03-31 02:46:41.981517,2022-03-31 04:06:02.367000,1.299,0.023,1.322
23,49,115,DMC60T#3,175A1302-1,D200577240,30,12,5,2022-03-31 04:19:10.594000,2022-03-31 05:38:28.471000,1.314,0.008,1.322
23,49,115,DMC60T#3,175A1302-1,D200577240,30,12,6,2022-03-31 05:56:34.710000,2022-03-31 07:15:50.718000,1.295,0.026,1.321
23,49,115,DMC60T#3,175A1302-1,D200577240,30,12,7,2022-03-31 08:35:52.601000,2022-03-31 09:55:10.534036,1.308,0.014,1.322
23,49,115,DMC60T#3,175A1302-1,D200577240,30,12,8,2022-03-31 10:45:22.879000,2022-03-31 12:04:43.065604,1.305,0.017,1.322
23,49,115,DMC60T#3,175A1302-1,D200577240,30,12,9,2022-03-31 13:05:13.122000,2022-03-31 14:24:32.864223,1.303,0.02,1.322
23,49,115,DMC60T#3,175A1302-1,D200577240,30,12,10,2022-03-31 15:15:01.349000,2022-03-31 16:34:19.342000,1.308,0.013,1.322
23,49,115,DMC60T#3,175A1302-1,D200577240,30,12,11,2022-03-31 16:45:40.527681,2022-03-31 18:04:59.117374,1.302,0.02,1.322
23,49,115,DMC60T#3,175A1302-1,D200577240,30,12,12,2022-03-31 18:49:17.316000,2022-03-31 20:08:33.830000,1.3,0.022,1.321
21,47,111,ECOSPEED F1040 #2,V5725351820000,D200593410,20,1,1,2022-03-31 08:10:51.994000,2022-03-31 09:19:43.878000,1.08,0.068,1.148
21,47,111,ECOSPEED F1040 #2,V5725351820000,D200593420,20,1,1,2022-03-31 09:39:06.285000,2022-03-31 10:47:56.473000,1.09,0.057,1.147
21,47,111,ECOSPEED F1040 #2,V5725416921000,D200593370,20,1,1,2022-03-31 11:15:44.474000,2022-03-31 14:40:25.237000,2.856,0.556,3.411
21,47,111,ECOSPEED F1040 #2,V5725416921000,D200593360,20,1,1,2022-03-31 15:19:17.136000,2022-03-31 18:53:28.047000,2.782,0.788,3.57
21,47,109,G3020 #1,116W2103-508,D200583110,40,2,1,2022-03-31 08:20:07.737000,2022-03-31 09:36:03.680000,0.816,0.449,1.266
21,47,109,G3020 #1,116W2103-508,D200583110,40,2,2,2022-03-31 09:50:33.812000,2022-03-31 11:14:46.198000,0.824,0.58,1.403
21,47,109,G3020 #1,116W2103-508,D200583230,40,1,1,2022-03-31 11:28:42.139000,2022-03-31 13:24:54.217000,0.845,1.092,1.937
21,47,109,G3020 #1,116W2104-508,D200583120,40,2,1,2022-03-31 14:27:28.713000,2022-03-31 15:35:58.842000,0.821,0.321,1.142
