factory_id,process_id,equipment_id,equipment_name,material,routing_revision,so,gop,qty,cycle_number,start_time,stop_time,spindle,idle_inter,total
24,50,102,CMI 3S #8,162D612313-2004,A,D200598790,20,1,1,2022-04-29 03:52:51.144423,2022-04-29 09:52:40.134490,2.369,3.628,5.997
24,50,102,CMI 3S #8,162D612313-2004,A,D200598800,20,1,1,2022-04-29 03:52:51.144423,2022-04-29 09:52:40.134490,2.369,3.628,5.997
24,50,102,CMI 3S #8,162D612313-2004,A,D200598810,20,1,1,2022-04-29 10:57:58.188000,2022-04-29 14:43:04.980558,1.555,2.197,3.752
24,50,102,CMI 3S #8,162D612313-2004,A,D200598780,30,1,1,2022-04-30 01:41:40.728000,2022-04-30 06:14:03.544959,3.693,0.846,4.54
24,50,102,CMI 3S #8,162D612313-2004,A,D200598770,30,1,1,2022-04-30 01:41:40.728000,2022-04-30 06:14:03.544959,3.693,0.846,4.54
23,49,115,DMC60T#3,182A5605-3,A,D200606880,30,10,1,2022-04-29 03:29:43.316556,2022-04-29 04:31:04.272389,0.946,0.077,1.022
23,49,115,DMC60T#3,182A5605-3,A,D200606880,30,10,2,2022-04-29 04:38:32.659396,2022-04-29 05:33:47.250000,0.921,0.0,0.921
23,49,115,DMC60T#3,182A5605-3,A,D200606880,30,10,3,2022-04-29 05:47:13.265000,2022-04-29 06:42:31.135000,0.922,0.0,0.922
23,49,115,DMC60T#3,182A5605-3,A,D200606880,30,10,4,2022-04-29 07:05:22.842572,2022-04-29 08:00:42.872006,0.922,0.0,0.922
23,49,115,DMC60T#3,182A5605-3,A,D200606880,30,10,5,2022-04-29 08:13:24.875708,2022-04-29 09:08:41.019002,0.921,0.0,0.921
23,49,115,DMC60T#3,182A5605-3,A,D200606880,30,10,6,2022-04-29 09:13:57.246000,2022-04-29 10:09:13.257925,0.921,0.0,0.921
23,49,115,DMC60T#3,182A5605-3,A,D200606880,30,10,7,2022-04-29 11:00:05.471000,2022-04-29 11:55:23.172986,0.922,0.0,0.922
23,49,115,DMC60T#3,182A5605-3,A,D200606880,30,10,8,2022-04-29 13:19:15.419980,2022-04-29 14:14:31.250450,0.921,0.0,0.921
23,49,115,DMC60T#3,182A5605-3,A,D200606880,30,10,9,2022-04-29 14:20:13.733000,2022-04-29 15:15:36.012000,0.923,0.0,0.923
