factory_id,process_id,equipment_id,equipment_name,material,routing_revision,so,gop,qty,total_cycle_avg,total_cycle_max,total_cycle_min,spindle_cycle_avg,spindle_cycle_max,spindle_cycle_min,idle_cycle_avg,idle_cycle_max,idle_cycle_min,cycle,start_time,stop_time,total_runtime
24,50,103,SB-416,D572-57836-202,A,D200588090,20,1,0.53,0.53,0.53,0.443,0.443,0.443,0.087,0.087,0.087,1,2022-04-30 04:15:03,2022-04-30 04:56:06,0.684
24,50,103,SB-416,D572-57837-202,A,D200587580,10,2,0.248,0.271,0.224,0.194,0.209,0.178,0.054,0.093,0.015,2,,,
24,50,103,SB-416,D572-40293-203,A,D200615590,20,1,0.996,0.996,0.996,0.49,0.49,0.49,0.506,0.506,0.506,1,2022-04-29 09:22:36,2022-04-29 11:02:32,1.666
24,50,103,SB-416,D572-40293-203,A,D200615580,20,1,1.772,1.772,1.772,0.48,0.48,0.48,1.291,1.291,1.291,1,2022-04-29 07:06:26,2022-04-29 09:22:25,2.266
24,50,103,SB-416,D572-40293-203,A,D200615560,20,1,0.637,0.637,0.637,0.505,0.505,0.505,0.132,0.132,0.132,1,2022-04-29 21:14:53,2022-04-29 21:57:09,0.704
24,50,103,SB-416,D572-57837-203,A,D200587620,10,4,0.218,0.227,0.211,0.192,0.197,0.181,0.026,0.036,0.014,4,,,
24,50,103,SB-416,D572-57837-203,A,D200587690,10,6,0.224,0.227,0.223,0.194,0.208,0.183,0.03,0.042,0.017,6,,,
24,50,103,SB-416,D572-57837-202,A,D200587710,10,6,0.219,0.224,0.199,0.183,0.196,0.153,0.037,0.046,0.027,6,,,
24,50,103,SB-416,D572-57837-202,A,D200587650,10,2,0.236,0.271,0.223,0.182,0.193,0.173,0.053,0.097,0.031,4,,,
21,47,108,SNK RB-200F(2060),30P171210301-001-K,-,D200517010,20,6,1.458,1.766,1.338,1.2,1.206,1.188,0.258,0.565,0.135,6,2022-04-29 09:26:10,2022-04-29 20:36:30,11.172
23,49,119,VMP8-6P,A81063314-03,C,D200609420,20,1,4.337,4.337,4.337,3.209,3.209,3.209,1.128,1.128,1.128,1,2022-04-29 03:25:57,2022-04-29 08:29:58,5.067
23,49,119,VMP8-6P,A81063314-03,C,D200609500,20,1,4.97,4.97,4.97,3.206,3.206,3.206,1.764,1.764,1.764,1,2022-04-29 15:30:29,2022-04-29 20:54:13,5.396
23,49,119,VMP8-6P,A81063314-03,C,D200609430,20,1,3.815,3.815,3.815,3.219,3.219,3.219,0.596,0.596,0.596,1,2022-04-29 08:30:15,2022-04-29 14:41:07,6.181
23,49,119,VMP8-6P,A81063314-03,C,D200609440,20,1,5.036,5.036,5.036,3.214,3.214,3.214,1.822,1.822,1.822,1,2022-04-29 20:54:29,2022-04-30 02:10:30,5.267
