factory_id,process_id,equipment_id,equipment_name,material,so,gop,qty,total_cycle_avg,total_cycle_max,total_cycle_min,spindle_cycle_avg,spindle_cycle_max,spindle_cycle_min,idle_cycle_avg,idle_cycle_max,idle_cycle_min,start_time,stop_time,total_runtime
23,49,115,DMC60T#3,182A5605-12,D200597890,40,3,0.738,0.948,0.633,0.635,0.64,0.632,0.103,0.307,0.0,2022-04-15 02:27:35,2022-04-15 06:11:40,3.735
23,49,115,DMC60T#3,182A5605-3,D200597970,40,10,0.758,1.994,0.619,0.616,0.622,0.578,0.142,1.416,0.0,2022-04-14 06:57:42,2022-04-14 21:01:24,14.062
23,49,115,DMC60T#3,182A5605-12,D200597890,30,3,0.97,0.994,0.958,0.964,0.977,0.958,0.006,0.017,0.0,2022-04-14 21:01:43,2022-04-15 02:27:17,5.426
21,47,111,ECOSPEED F1040 #2,V5725352020600,D200593330,30,1,3.181,3.181,3.181,2.333,2.333,2.333,0.848,0.848,0.848,2022-04-14 13:18:37,2022-04-14 16:40:18,3.361
21,47,111,ECOSPEED F1040 #2,V5725352020600,D200600260,20,1,1.157,1.157,1.157,1.145,1.145,1.145,0.012,0.012,0.012,2022-04-14 18:17:13,2022-04-14 19:55:16,1.634
21,47,111,ECOSPEED F1040 #2,V5725352020600,D200600270,20,1,1.205,1.205,1.205,1.179,1.179,1.179,0.026,0.026,0.026,2022-04-14 16:40:31,2022-04-14 17:57:37,1.285
21,47,111,ECOSPEED F1040 #2,V5725352020600,D200600280,20,1,1.203,1.203,1.203,1.196,1.196,1.196,0.008,0.008,0.008,2022-04-14 10:50:15,2022-04-14 13:09:55,2.328
21,47,111,ECOSPEED F1040 #2,V5725352121000,D200600540,10,1,0.883,0.883,0.883,0.836,0.836,0.836,0.047,0.047,0.047,2022-04-14 09:17:54,2022-04-14 10:23:51,1.099
21,47,111,ECOSPEED F1040 #2,V5725352121000,D200600550,10,1,0.874,0.874,0.874,0.796,0.796,0.796,0.078,0.078,0.078,2022-04-14 08:10:44,2022-04-14 09:07:05,0.939
21,84,107,EVER 7,30P171700105-001A-K,D200574970,50,1,34.262,34.262,34.262,7.875,7.875,7.875,26.387,26.387,26.387,2022-04-13 04:15:38,2022-04-15 07:58:11,51.709
21,47,109,G3020 #1,30P315415300-001A,D200525010,30,1,2.843,2.843,2.843,1.798,1.798,1.798,1.045,1.045,1.045,2022-04-14 08:49:08,2022-04-14 13:05:59,4.281
23,49,167,H5-800,RD00102312-4,Y200152690,50,1,4.734,4.734,4.734,2.806,2.806,2.806,1.928,1.928,1.928,2022-04-14 02:03:25,2022-04-15 04:28:28,26.418
21,47,112,HFP1540 PROTO,V5312019120000,D200582350,60,1,6.99,6.99,6.99,5.752,5.752,5.752,1.238,1.238,1.238,2022-04-14 08:58:22,2022-04-14 16:03:02,7.078
23,49,118,HU80A-5X,A81068102-01,D200608720,20,1,4.778,4.778,4.778,1.936,1.936,1.936,2.841,2.841,2.841,2022-04-13 13:58:13,2022-04-14 08:43:30,18.755
23,49,118,HU80A-5X,A81068102-01,D200608730,20,1,5.13,5.13,5.13,1.991,1.991,1.991,3.139,3.139,3.139,2022-04-14 08:43:50,2022-04-14 15:27:52,6.734
24,50,104,MC18200 #1,D572-40289-203,D200569170,20,1,1.676,1.676,1.676,1.386,1.386,1.386,0.291,0.291,0.291,2022-04-14 10:45:07,2022-04-14 15:49:18,5.07
24,50,104,MC18200 #1,D572-40289-203,D200569180,20,1,1.676,1.676,1.676,1.386,1.386,1.386,0.291,0.291,0.291,2022-04-14 10:45:07,2022-04-14 15:49:18,5.07
24,50,104,MC18200 #1,D572-40289-203,D200585410,20,1,2.321,2.321,2.321,1.396,1.396,1.396,0.926,0.926,0.926,2022-04-14 15:49:33,2022-04-14 18:18:43,2.486
24,50,104,MC18200 #1,D572-40289-203,D200585430,20,1,2.321,2.321,2.321,1.396,1.396,1.396,0.926,0.926,0.926,2022-04-14 15:49:33,2022-04-14 18:18:43,2.486
24,50,104,MC18200 #1,D572-40290-203,D200585130,20,2,0.992,0.998,0.986,0.992,0.997,0.986,0.0,0.001,0.0,2022-04-15 02:17:47,2022-04-15 07:32:55,5.252
24,50,104,MC18200 #1,D572-40290-203,D200585140,20,2,0.992,0.998,0.986,0.992,0.997,0.986,0.0,0.001,0.0,2022-04-15 02:17:47,2022-04-15 07:32:55,5.252
