factory_id,process_id,equipment_id,equipment_name,material,so,gop,qty,total_cycle_avg,total_cycle_max,total_cycle_min,spindle_cycle_avg,spindle_cycle_max,spindle_cycle_min,idle_cycle_avg,idle_cycle_max,idle_cycle_min,start_time,stop_time,total_runtime
23,49,115,DMC60T#3,182A5702-4,D200597900,30,10,0.779,0.975,0.748,0.76,0.821,0.748,0.018,0.181,0.0,2022-04-18 08:49:40,2022-04-18 21:37:25,12.796
21,84,48,DMU 50 3rd Generation #2,114A7312-604,Y200159000,40,15,0.563,0.729,0.547,0.536,0.54,0.531,0.027,0.197,0.008,2022-04-18 08:52:30,2022-04-18 21:23:13,12.512
21,47,111,ECOSPEED F1040 #2,V5725352320600,D200605660,20,1,1.049,1.049,1.049,1.038,1.038,1.038,0.012,0.012,0.012,2022-04-18 18:09:57,2022-04-18 19:31:37,1.361
21,47,111,ECOSPEED F1040 #2,V5725352320400,D200605700,20,1,1.016,1.016,1.016,1.003,1.003,1.003,0.013,0.013,0.013,2022-04-18 08:35:49,2022-04-18 10:00:32,1.412
21,47,111,ECOSPEED F1040 #2,V5725352320400,D200605680,20,1,0.988,0.988,0.988,0.959,0.959,0.959,0.029,0.029,0.029,2022-04-18 10:18:52,2022-04-18 11:35:04,1.27
21,47,111,ECOSPEED F1040 #2,V5725352320400,D200605670,20,1,1.014,1.014,1.014,0.996,0.996,0.996,0.018,0.018,0.018,2022-04-18 15:46:04,2022-04-18 17:36:59,1.849
21,47,111,ECOSPEED F1040 #2,V5725352020600,D200600270,30,1,3.923,3.923,3.923,2.334,2.334,2.334,1.589,1.589,1.589,2022-04-18 11:40:49,2022-04-18 15:40:14,3.99
21,84,107,EVER 7,30P171700105-001A-K,D200574930,50,1,78.493,78.493,78.493,7.959,7.959,7.959,70.535,70.535,70.535,2022-04-15 16:17:15,2022-04-18 23:31:06,79.231
21,47,109,G3020 #1,V5311103620103,D200567410,20,8,0.503,0.563,0.476,0.478,0.487,0.466,0.026,0.08,0.002,2022-04-18 14:37:55,2022-04-18 22:20:38,7.712
21,47,109,G3020 #1,V5311103620103,D200580670,20,1,0.495,0.495,0.495,0.495,0.495,0.495,0.0,0.0,0.0,2022-04-18 13:26:14,2022-04-18 14:37:44,1.192
21,47,109,G3020 #1,V5311103620103,D200580680,20,1,0.482,0.482,0.482,0.463,0.463,0.463,0.018,0.018,0.018,2022-04-18 10:50:33,2022-04-18 11:50:07,0.993
21,47,109,G3020 #1,V5311103620103,D200580690,20,1,0.624,0.624,0.624,0.444,0.444,0.444,0.18,0.18,0.18,2022-04-18 09:26:40,2022-04-18 10:50:19,1.394
