factory_id,process_id,equipment_id,equipment_name,material,so,gop,qty,total_cycle_avg,total_cycle_max,total_cycle_min,spindle_cycle_avg,spindle_cycle_max,spindle_cycle_min,idle_cycle_avg,idle_cycle_max,idle_cycle_min,start_time,stop_time,total_runtime
24,50,102,CMI 3S #8,172A2010-754A,D200595320,30,1,6.818,6.818,6.818,5.407,5.407,5.407,1.411,1.411,1.411,2022-04-15 21:40:38,2022-04-16 04:26:45,6.769
24,50,102,CMI 3S #8,172A2010-753A,D200595290,30,1,9.777,9.777,9.777,5.297,5.297,5.297,4.48,4.48,4.48,2022-04-15 07:17:52,2022-04-15 20:00:53,12.717
23,49,115,DMC60T#3,182A5702-3,D200595710,40,10,0.782,1.823,0.536,0.533,0.543,0.531,0.249,1.291,0.005,2022-04-15 18:39:20,2022-04-16 04:12:11,9.548
23,49,115,DMC60T#3,182A5702-3,D200595710,30,10,0.861,1.544,0.756,0.786,0.841,0.756,0.075,0.746,0.0,2022-04-15 07:07:31,2022-04-15 18:38:02,11.509
21,84,48,DMU 50 3rd Generation #2,114A7321-604,Y200159020,40,26,0.575,0.643,0.571,0.56,0.566,0.545,0.015,0.079,0.006,2022-04-14 10:59:18,2022-04-15 11:14:11,24.248
21,84,48,DMU 50 3rd Generation #2,114A7321-604,Y200153640,40,5,0.636,0.891,0.571,0.554,0.565,0.516,0.082,0.375,0.006,2022-04-15 11:14:36,2022-04-15 16:39:31,5.415
21,84,48,DMU 50 3rd Generation #2,114A7312-603,Y200158990,40,13,0.53,0.58,0.503,0.516,0.523,0.494,0.014,0.067,0.004,2022-04-15 16:39:51,2022-04-16 04:43:23,12.059
21,47,111,ECOSPEED F1040 #2,V5725352020600,D200600280,30,1,3.142,3.142,3.142,2.354,2.354,2.354,0.788,0.788,0.788,2022-04-15 11:11:10,2022-04-15 14:28:18,3.286
21,47,111,ECOSPEED F1040 #2,V5725351820000,D200600410,20,1,1.139,1.139,1.139,1.107,1.107,1.107,0.032,0.032,0.032,2022-04-15 08:16:45,2022-04-15 09:29:09,1.207
21,47,111,ECOSPEED F1040 #2,V5725351820000,D200600400,20,1,1.15,1.15,1.15,1.095,1.095,1.095,0.055,0.055,0.055,2022-04-15 09:41:58,2022-04-15 11:04:58,1.383
21,47,111,ECOSPEED F1040 #2,V5725351820000,D200600380,20,1,1.141,1.141,1.141,1.122,1.122,1.122,0.019,0.019,0.019,2022-04-15 14:31:06,2022-04-15 15:52:00,1.348
21,47,111,ECOSPEED F1040 #2,V5725352020600,D200600260,30,1,2.959,2.959,2.959,2.343,2.343,2.343,0.615,0.615,0.615,2022-04-15 15:52:17,2022-04-15 19:02:27,3.169
21,47,109,G3020 #1,V5311103620103,D200580670,10,1,0.23,0.23,0.23,0.135,0.135,0.135,0.095,0.095,0.095,2022-04-15 19:15:43,2022-04-15 20:07:24,0.861
21,47,109,G3020 #1,V5311103620103,D200567410,10,8,0.23,0.233,0.228,0.137,0.161,0.131,0.093,0.097,0.07,2022-04-15 20:55:15,2022-04-16 03:12:04,6.28
21,47,109,G3020 #1,V5311103620103,D200580680,10,1,0.23,0.23,0.23,0.135,0.135,0.135,0.095,0.095,0.095,2022-04-15 18:48:46,2022-04-15 19:15:33,0.446
21,47,109,G3020 #1,V5311103620103,D200580690,10,1,0.283,0.283,0.283,0.135,0.135,0.135,0.148,0.148,0.148,2022-04-15 18:04:49,2022-04-15 18:48:32,0.729
21,47,109,G3020 #1,V5311103620103,D200580700,10,1,0.231,0.231,0.231,0.136,0.136,0.136,0.095,0.095,0.095,2022-04-15 20:17:20,2022-04-15 20:55:03,0.629
21,47,109,G3020 #1,30P315440100-001A,D200574980,10,1,2.745,2.745,2.745,2.169,2.169,2.169,0.576,0.576,0.576,2022-04-15 13:18:46,2022-04-15 16:27:09,3.14
23,49,167,H5-800,RF00102212-2,Y200184610,80,1,3.046,3.046,3.046,1.952,1.952,1.952,1.094,1.094,1.094,2022-04-15 08:42:12,2022-04-15 11:51:04,3.148
23,49,167,H5-800,RD00102302-4,Y200161120,50,1,3.046,3.046,3.046,1.944,1.944,1.944,1.102,1.102,1.102,2022-04-15 04:28:46,2022-04-15 21:11:47,16.717
21,47,112,HFP1540 PROTO,V5312019120000,D200582340,60,1,7.675,7.675,7.675,5.76,5.76,5.76,1.915,1.915,1.915,2022-04-15 09:47:17,2022-04-15 17:39:40,7.873
23,49,118,HU80A-5X,A81068102-01,D200608740,20,1,3.8,3.8,3.8,2.075,2.075,2.075,1.725,1.725,1.725,2022-04-14 15:28:11,2022-04-15 08:40:59,17.213
23,49,118,HU80A-5X,V5725305020600,D200576750,30,1,27.366,27.366,27.366,16.75,16.75,16.75,10.616,10.616,10.616,2022-04-14 22:48:38,2022-04-16 04:02:09,29.225
23,49,117,KT MODU LINE #3,182A1507-753,D200594640,40,6,6.625,8.665,5.826,5.55,6.082,5.4,1.075,2.583,0.41,2022-04-14 06:25:45,2022-04-16 04:32:00,46.104
24,50,104,MC18200 #1,D572-57847-202,D200589800,20,1,1.469,1.469,1.469,1.386,1.386,1.386,0.084,0.084,0.084,2022-04-15 17:45:37,2022-04-15 21:13:24,3.463
24,50,104,MC18200 #1,D572-57847-202,D200573170,20,2,1.822,2.142,1.501,1.38,1.382,1.378,0.441,0.76,0.122,2022-04-15 21:13:38,2022-04-16 01:23:52,4.171
24,50,104,MC18200 #1,D572-40290-203,D200585070,20,2,1.518,1.966,1.069,1.219,1.391,1.046,0.3,0.576,0.023,2022-04-15 11:51:08,2022-04-15 17:44:59,5.898
24,50,104,MC18200 #1,D572-40290-203,D200585120,20,1,1.039,1.039,1.039,1.039,1.039,1.039,0.0,0.0,0.0,2022-04-15 09:24:52,2022-04-15 11:50:55,2.434
24,50,104,MC18200 #1,D572-40290-203,D200585060,20,2,1.518,1.966,1.069,1.219,1.391,1.046,0.3,0.576,0.023,2022-04-15 11:51:08,2022-04-15 17:44:59,5.898
24,50,104,MC18200 #1,D572-57847-202,D200589810,20,2,1.822,2.142,1.501,1.38,1.382,1.378,0.441,0.76,0.122,2022-04-15 21:13:38,2022-04-16 01:23:52,4.171
24,50,104,MC18200 #1,D572-40290-203,D200585110,20,1,1.039,1.039,1.039,1.039,1.039,1.039,0.0,0.0,0.0,2022-04-15 09:24:52,2022-04-15 11:50:55,2.434
24,50,104,MC18200 #1,D572-57847-202,D200589880,20,1,1.469,1.469,1.469,1.386,1.386,1.386,0.084,0.084,0.084,2022-04-15 17:45:37,2022-04-15 21:13:24,3.463
23,49,116,MYNX500#1,172A4003-22,D200600700,20,12,1.283,1.61,1.177,1.161,1.236,1.129,0.122,0.478,0.04,2022-04-14 15:32:48,2022-04-15 09:28:07,17.922
23,49,116,MYNX500#1,172A4003-22,D200600710,20,12,1.266,1.409,1.165,1.13,1.136,1.12,0.136,0.287,0.037,2022-04-15 09:28:28,2022-04-16 04:12:02,18.726
