factory_id,process_id,equipment_id,equipment_name,material,so,gop,qty,cycle_number,start_time,stop_time,spindle,idle_inter,total
23,49,115,DMC60T#3,185A5101-3.1,D200577350,40,10,1,2022-03-28 08:39:22.902000,2022-03-28 09:38:48.306329,0.717,0.273,0.99
23,49,115,DMC60T#3,185A5101-3.1,D200577350,40,10,2,2022-03-28 09:50:15.903533,2022-03-28 10:48:59.662460,0.713,0.266,0.979
23,49,115,DMC60T#3,185A5101-3.1,D200577350,40,10,3,2022-03-28 10:54:52.287785,2022-03-28 11:45:55.544745,0.763,0.088,0.851
23,49,115,DMC60T#3,185A5101-3.1,D200577350,40,10,4,2022-03-28 11:49:59.965953,2022-03-28 13:12:43.924808,0.764,0.615,1.379
23,49,115,DMC60T#3,185A5101-3.1,D200577350,40,10,5,2022-03-28 13:17:54.414824,2022-03-28 15:24:23.237027,0.76,1.348,2.108
23,49,115,DMC60T#3,185A5101-3.1,D200577350,40,10,6,2022-03-28 15:30:03.022000,2022-03-28 17:37:31.625000,0.76,1.365,2.125
23,49,115,DMC60T#3,185A5101-3.1,D200577350,40,10,7,2022-03-28 19:08:23.666000,2022-03-28 19:58:13.607000,0.759,0.072,0.831
23,49,115,DMC60T#3,185A5101-3.1,D200577350,40,10,8,2022-03-28 20:04:15.635285,2022-03-28 21:01:05.432485,0.775,0.172,0.947
23,49,115,DMC60T#3,185A5101-3.1,D200577350,40,10,9,2022-03-28 21:05:29.893000,2022-03-28 22:05:19.735000,0.757,0.24,0.997
23,49,115,DMC60T#3,185A5101-3.1,D200577350,40,10,10,2022-03-28 22:09:23.700000,2022-03-28 23:04:15.741000,0.758,0.157,0.914
23,49,115,DMC60T#3,185A5101-5A,D200581390,30,3,1,2022-03-28 23:16:23.874000,2022-03-29 02:26:16.148000,1.069,2.096,3.165
23,49,115,DMC60T#3,185A5101-5A,D200581390,30,3,2,2022-03-29 02:31:30.261000,2022-03-29 03:30:36.346000,0.984,0.001,0.985
23,49,115,DMC60T#3,185A5101-5A,D200581390,30,3,3,2022-03-29 03:35:24.022706,2022-03-29 04:34:38.349000,0.987,0.0,0.987
21,84,48,DMU 50 3rd Generation #2,315A6156-74,Y200160820,60,23,1,2022-03-25 10:00:38.371000,2022-03-25 10:47:50.216000,0.772,0.015,0.787
21,84,48,DMU 50 3rd Generation #2,315A6156-74,Y200160820,60,23,2,2022-03-25 10:52:48.536000,2022-03-25 11:43:48.639000,0.834,0.016,0.85
21,84,48,DMU 50 3rd Generation #2,315A6156-74,Y200160820,60,23,3,2022-03-25 11:50:40.659000,2022-03-25 12:41:42.527000,0.838,0.013,0.851
21,84,48,DMU 50 3rd Generation #2,315A6156-74,Y200160820,60,23,4,2022-03-25 13:33:06.747000,2022-03-25 14:24:02.851000,0.835,0.014,0.849
21,84,48,DMU 50 3rd Generation #2,315A6156-74,Y200160820,60,23,5,2022-03-25 14:32:50.661000,2022-03-25 15:23:51.050000,0.841,0.009,0.85
21,84,48,DMU 50 3rd Generation #2,315A6156-74,Y200160820,60,23,6,2022-03-25 15:30:04.759000,2022-03-25 16:21:03.180000,0.837,0.013,0.85
