factory_id,process_id,equipment_id,equipment_name,material,so,gop,qty,total_cycle_avg,total_cycle_max,total_cycle_min,spindle_cycle_avg,spindle_cycle_max,spindle_cycle_min,idle_cycle_avg,idle_cycle_max,idle_cycle_min,start_time,stop_time,total_runtime
23,49,115,DMC60T#3,185A5101-5A,D200581390,30,3,1.712,3.165,0.985,1.013,1.069,0.984,0.699,2.096,0.0,2022-03-28 23:14:44,2022-03-29 04:55:37,5.681
23,49,115,DMC60T#3,185A5101-3.1,D200577350,40,10,1.212,2.125,0.831,0.753,0.775,0.713,0.46,1.365,0.072,2022-03-28 08:15:22,2022-03-28 23:14:34,14.987
21,84,48,DMU 50 3rd Generation #2,315A6156-74,Y200160820,60,23,0.849,0.882,0.787,0.824,0.841,0.647,0.025,0.202,0.009,2022-03-25 09:57:21,2022-03-28 15:55:28,77.969
21,84,48,DMU 50 3rd Generation #2,144A1510-5,Y200154310,40,12,0.105,0.109,0.084,0.103,0.108,0.084,0.002,0.011,0.0,2022-03-29 04:03:27,2022-03-29 06:12:25,2.149
21,84,48,DMU 50 3rd Generation #2,144A1510-4,Y200164150,40,12,0.112,0.113,0.107,0.106,0.113,0.1,0.006,0.013,0.0,2022-03-28 23:04:17,2022-03-29 04:02:50,4.976
21,84,48,DMU 50 3rd Generation #2,144A1510-4,Y200154300,40,12,0.112,0.113,0.107,0.106,0.113,0.1,0.006,0.013,0.0,2022-03-28 23:04:17,2022-03-29 04:02:50,4.976
21,84,48,DMU 50 3rd Generation #2,144A1510-3,Y200164140,40,13,0.117,0.129,0.088,0.113,0.129,0.088,0.004,0.013,0.0,2022-03-28 19:40:02,2022-03-28 23:03:40,3.394
21,84,48,DMU 50 3rd Generation #2,144A1510-3,Y200154290,40,7,0.112,0.117,0.088,0.108,0.116,0.088,0.004,0.009,0.0,2022-03-28 21:13:29,2022-03-28 23:03:40,1.836
21,84,48,DMU 50 3rd Generation #2,144A1510-5,Y200164160,40,12,0.105,0.109,0.084,0.103,0.108,0.084,0.002,0.011,0.0,2022-03-29 04:03:27,2022-03-29 06:12:25,2.149
21,47,111,ECOSPEED F1040 #2,V5725416921000,D200593350,10,1,0.898,0.898,0.898,0.812,0.812,0.812,0.087,0.087,0.087,2022-03-28 18:01:41,2022-03-28 19:39:46,1.635
21,47,111,ECOSPEED F1040 #2,V5725416920800,D200593380,10,1,0.858,0.858,0.858,0.816,0.816,0.816,0.043,0.043,0.043,2022-03-28 14:12:15,2022-03-28 15:33:51,1.36
21,47,111,ECOSPEED F1040 #2,V5725352520200,D200595480,20,1,0.537,0.537,0.537,0.463,0.463,0.463,0.074,0.074,0.074,2022-03-28 13:12:41,2022-03-28 14:12:06,0.99
21,47,111,ECOSPEED F1040 #2,V5725352520200,D200595470,20,1,0.537,0.537,0.537,0.468,0.468,0.468,0.069,0.069,0.069,2022-03-28 10:28:50,2022-03-28 13:12:31,2.728
21,47,111,ECOSPEED F1040 #2,V5725352520200,D200595460,20,1,0.535,0.535,0.535,0.476,0.476,0.476,0.06,0.06,0.06,2022-03-28 09:19:35,2022-03-28 10:27:58,1.14
21,47,111,ECOSPEED F1040 #2,V5725416920800,D200593390,10,1,0.863,0.863,0.863,0.859,0.859,0.859,0.005,0.005,0.005,2022-03-28 15:33:58,2022-03-28 16:54:33,1.343
21,47,111,ECOSPEED F1040 #2,V5725416920800,D200593400,10,1,0.856,0.856,0.856,0.828,0.828,0.828,0.028,0.028,0.028,2022-03-28 16:54:42,2022-03-28 18:01:27,1.112
21,47,109,G3020 #1,85B5401-633,D200565320,20,1,8.663,8.663,8.663,4.42,4.42,4.42,4.243,4.243,4.243,2022-03-28 08:55:11,2022-03-28 18:51:51,9.944
21,47,109,G3020 #1,116W2106-608,D200583200,30,3,1.217,1.336,1.127,0.945,0.953,0.937,0.272,0.399,0.174,2022-03-29 03:02:01,2022-03-29 07:58:04,4.934
